date,AS_FTSE_DM_STAY_2022_Q2,meta
2022-05-24 23:00:00,8.787409106395536,
2022-05-24 23:59:59,20.286051618714914,c
2022-05-25 00:00:00,27.103276034266983,
2022-05-25 01:00:00,31.529494430964043,
2022-05-25 02:30:00,34.530506783864155,
2022-05-25 03:00:00,34.52724667232553,
2022-05-25 18:30:00,35.319802812942584,
2022-05-25 20:00:00,35.538126100411105,
2022-05-25 23:00:00,35.39036203130908,
2022-05-25 23:59:59,38.83195430564122,c
2022-05-26 00:00:00,34.56178027847283,
2022-05-26 01:00:00,27.32851147309964,
2022-05-26 02:30:00,21.743981037701147,
2022-05-26 03:00:00,23.3625009678124,
2022-05-26 18:30:00,28.00325486205786,
2022-05-26 20:00:00,27.964418912344215,
2022-05-26 23:00:00,20.885972092748663,
2022-05-26 23:59:59,25.676665076617446,c
2022-05-27 00:00:00,5.408757543251049,
2022-05-27 01:00:00,8.262424120441032,
2022-05-27 02:30:00,11.69381513102029,
2022-05-27 03:00:00,10.308232697091693,
2022-05-27 18:30:00,10.308232697091693,
2022-05-27 20:00:00,10.308232697091693,
2022-05-27 23:00:00,10.308232697091693,
2022-05-27 23:59:59,4.568992080929128,w
2022-05-30 00:00:00,55.53421879114779,
2022-05-30 01:00:00,62.06095894850367,
2022-05-30 02:30:00,60.69813313833106,
2022-05-30 03:00:00,60.68046183076713,
2022-05-30 18:30:00,59.12709786714114,
2022-05-30 20:00:00,58.95722489421986,
2022-05-30 23:00:00,76.62180608010975,
2022-05-30 23:59:59,72.71394218415611,c
2022-05-31 00:00:00,69.19385955159501,
2022-05-31 01:00:00,74.07674180317505,
2022-05-31 02:30:00,69.5808677294856,
2022-05-31 03:00:00,69.33436616452464,
2022-05-31 18:30:00,72.84048882750854,
2022-05-31 20:00:00,73.05737289338437,
2022-05-31 23:00:00,65.780987973126,
2022-05-31 23:59:59,80.19503388253544,c
2022-06-01 00:00:00,63.525480787764465,
2022-06-01 01:00:00,72.3828858694863,
2022-06-01 02:30:00,68.61243423604432,
2022-06-01 03:00:00,68.13898393337777,
2022-06-01 18:30:00,71.77435098825447,
2022-06-01 20:00:00,69.69001322946744,
2022-06-01 23:00:00,37.24383735394609,
2022-06-01 23:59:59,32.19750364624409,c
2022-06-02 00:00:00,46.42374117703652,
2022-06-02 01:00:00,46.73388197163234,
2022-06-02 02:30:00,59.80404809184521,
2022-06-02 03:00:00,59.85346979290895,
2022-06-02 18:30:00,59.85346979290895,
2022-06-02 20:00:00,59.85346979290895,
2022-06-02 23:00:00,67.53084964651576,
2022-06-02 23:59:59,72.48158394217279,c
2022-06-03 00:00:00,77.43554374077053,
2022-06-03 01:00:00,78.82908987804959,
2022-06-03 02:30:00,78.82908987804959,
2022-06-03 03:00:00,78.82908987804959,
2022-06-03 18:30:00,78.82908987804959,
2022-06-03 20:00:00,78.82908987804959,
2022-06-03 23:00:00,78.82908987804959,
2022-06-03 23:59:59,76.1730864955517,w
2022-06-06 00:00:00,98.84028815672983,
2022-06-06 01:00:00,95.9818251667889,
2022-06-06 02:30:00,91.63298817227312,
2022-06-06 03:00:00,94.2263019299348,
2022-06-06 18:30:00,93.77535915312376,
2022-06-06 20:00:00,93.87532486625233,
2022-06-06 23:00:00,94.96298120803715,
