date,MSCI_EM_ADR_HEDGED_2021_Q4,meta
2021-11-19 10:00:00,15.729245161680979,
2021-11-19 10:30:00,65.85309931767597,
2021-11-19 12:00:00,95.31902991039647,
2021-11-19 13:30:00,47.29971995227902,
2021-11-19 15:00:00,37.532206449698606,
2021-11-19 15:30:30,37.532206449698606,
2021-11-19 23:59:59,22.004752411747177,w
2021-11-22 00:00:00,25.95408014960367,
2021-11-22 10:00:00,80.30949555116649,
2021-11-22 10:30:00,101.90075435885228,
2021-11-22 12:00:00,82.25023278391927,
2021-11-22 13:30:00,85.11921840371474,
2021-11-22 15:00:00,69.69540692930491,
2021-11-22 15:30:30,69.69540692930491,u
2021-11-22 23:59:59,72.34007694158663,c
2021-11-23 00:00:00,67.88946879940295,
2021-11-23 10:00:00,57.83804694766263,
2021-11-23 10:30:00,-25.03711539825065,
2021-11-23 12:00:00,-27.97855928352908,
2021-11-23 13:30:00,-7.369785562157517,
2021-11-23 15:00:00,0.14969366615366653,
2021-11-23 15:30:30,0.14969366615366653,
2021-11-23 23:59:59,-27.47449776128201,c
2021-11-24 00:00:00,-39.40426582910902,
2021-11-24 10:00:00,1.236195405146077,
2021-11-24 10:30:00,11.909416914497342,
2021-11-24 12:00:00,3.9449349616326117,
2021-11-24 13:30:00,-23.274178056132428,
2021-11-24 15:00:00,2.985241601232474,
2021-11-24 15:30:30,2.985241601232474,
2021-11-24 23:59:59,-5.071186179857477,c
2021-11-25 00:00:00,-5.071186179857477,
2021-11-25 10:00:00,-5.071186179857477,
2021-11-25 10:30:00,-5.071186179857477,
2021-11-25 12:00:00,-5.071186179857477,
2021-11-25 13:30:00,-5.071186179857477,
2021-11-25 15:00:00,-5.071186179857477,
2021-11-25 15:30:30,-5.071186179857477,
2021-11-25 23:59:59,-5.071186179857477,c
2021-11-26 00:00:00,33.660008588566825,
2021-11-26 10:00:00,130.72920517018065,
2021-11-26 10:30:00,189.77926847952972,
2021-11-26 12:00:00,190.3772037721062,
2021-11-26 13:30:00,190.3772037721062,
2021-11-26 15:00:00,190.3772037721062,
2021-11-26 15:30:30,190.3772037721062,
2021-11-26 23:59:59,196.05352309451473,w
2021-11-29 00:00:00,203.72760039737432,
2021-11-29 10:00:00,213.18311976109476,
2021-11-29 10:30:00,125.81093391096488,
2021-11-29 12:00:00,123.45984593807293,
2021-11-29 13:30:00,85.34650033786284,
2021-11-29 15:00:00,94.72784305296204,
2021-11-29 15:30:30,94.72784305296204,
2021-11-29 23:59:59,116.44946876072459,c
2021-11-30 00:00:00,135.5649396144447,
2021-11-30 10:00:00,93.92852235484406,
2021-11-30 10:30:00,30.92292409590459,
2021-11-30 12:00:00,-46.54653588117117,
2021-11-30 13:30:00,-57.705010996377155,
2021-11-30 15:00:00,-10.798785088669092,
2021-11-30 15:30:30,-10.798785088669092,
2021-11-30 23:59:59,-34.3121041056711,e
2021-12-01 00:00:00,-54.806285819492814,
2021-12-01 10:00:00,-124.73249139639404,
2021-12-01 10:30:00,-172.5772113344426,
2021-12-01 12:00:00,-193.59560219953653,
2021-12-01 13:30:00,-194.51322321448833,
2021-12-01 15:00:00,-189.2535407876867,
2021-12-01 15:30:30,-189.2535407876867,
2021-12-01 23:59:59,-189.95963909279874,c
2021-12-02 00:00:00,-191.96672410325232,
2021-12-02 10:00:00,-235.24067459801415,
2021-12-02 10:30:00,-280.9715370573218,
2021-12-02 12:00:00,-248.2835580349614,
2021-12-02 13:30:00,-228.2113377595607,
2021-12-02 15:00:00,-252.87611020801944,
