date,MSCI_FACT_INTL_2022_Q2,meta
2022-06-08 13:30:00,-46.078178112450786,
2022-06-08 15:00:00,-50.87297984874229,
2022-06-08 15:30:30,-50.87297984874229,
2022-06-08 23:59:59,-48.990131979844676,c
2022-06-09 00:00:00,-42.895407251417936,
2022-06-09 10:00:00,-42.79568408804843,
2022-06-09 10:30:00,-57.347103502035736,
2022-06-09 12:00:00,-49.2356360447684,
2022-06-09 13:30:00,-42.99064903047747,
2022-06-09 15:00:00,-33.43988750217002,
2022-06-09 15:30:30,-33.43988750217002,
2022-06-09 23:59:59,-43.049946377730265,c
2022-06-10 00:00:00,-28.87566680713641,
2022-06-10 10:00:00,-6.274680939813038,
2022-06-10 10:30:00,-2.1031729762256077,
2022-06-10 12:00:00,0.1425963538030146,
2022-06-10 13:30:00,-2.2930081189362,
2022-06-10 15:00:00,-0.8567182530015884,
2022-06-10 15:30:30,-0.8567182530015884,
2022-06-10 23:59:59,2.567504990890029,w
2022-06-13 00:00:00,17.77170832019732,
2022-06-13 10:00:00,21.369595144117397,
2022-06-13 10:30:00,18.17043607767789,
2022-06-13 12:00:00,38.36403244696487,
2022-06-13 13:30:00,25.353148600743737,
2022-06-13 15:00:00,28.706172424224974,
2022-06-13 15:30:30,28.706172424224974,
2022-06-13 23:59:59,26.280551370815488,c
2022-06-14 00:00:00,23.468832106129526,
2022-06-14 10:00:00,0.6377481955469761,
2022-06-14 10:30:00,13.756938428556282,
2022-06-14 12:00:00,-10.342487408548891,
2022-06-14 13:30:00,-21.745622414614047,
2022-06-14 15:00:00,-12.601449230714309,
2022-06-14 15:30:30,-12.601449230714309,
2022-06-14 23:59:59,-11.502433165891546,c
2022-06-15 00:00:00,-20.9895253398725,
2022-06-15 10:00:00,-26.6992693994209,
2022-06-15 10:30:00,-34.42235095027422,
2022-06-15 12:00:00,-49.94989125323369,
2022-06-15 13:30:00,-45.52735501536722,
2022-06-15 15:00:00,-58.34124566020327,
2022-06-15 15:30:30,-58.34124566020327,
2022-06-15 23:59:59,-57.384683393297564,c
2022-06-16 00:00:00,-45.57163403400125,
2022-06-16 10:00:00,-38.04611916062413,
2022-06-16 10:30:00,-24.317168089630428,
2022-06-16 12:00:00,-15.513523850450042,
2022-06-16 13:30:00,-18.120320818326093,
2022-06-16 15:00:00,-24.57197710128156,
2022-06-16 15:30:30,-24.57197710128156,
2022-06-16 23:59:59,-26.56801990133647,c
2022-06-17 00:00:00,-33.70310259262507,
2022-06-17 10:00:00,-52.60326603853761,
2022-06-17 10:30:00,-54.46446797390291,
2022-06-17 12:00:00,-79.17062085549674,
2022-06-17 13:30:00,-100.67559812743241,
2022-06-17 15:00:00,-83.69476357579458,
2022-06-17 15:30:30,-83.69476357579458,q
2022-06-17 23:59:59,-75.32509997570747,w
