date,MSCI_MXN_2023_Q1,meta
2023-03-17 15:00:00,-436.5338355163367,
2023-03-17 15:30:30,-436.5338355163367,
2023-03-17 23:59:59,-436.5338355163367,w
2023-03-20 00:00:00,-436.5338355163367,
2023-03-20 10:00:00,-436.5338355163367,
2023-03-20 10:30:00,-436.5338355163367,
2023-03-20 12:00:00,-436.5338355163367,
2023-03-20 13:30:00,-436.5338355163367,
2023-03-20 15:00:00,-436.5338355163367,
2023-03-20 15:30:30,-436.5338355163367,
2023-03-20 23:59:59,-436.5338355163367,c
2023-03-21 00:00:00,-436.5338355163367,
2023-03-21 10:00:00,-436.5338355163367,
2023-03-21 10:30:00,-436.5338355163367,
2023-03-21 12:00:00,-436.5338355163367,
2023-03-21 13:30:00,-436.5338355163367,
2023-03-21 15:00:00,-436.5338355163367,
2023-03-21 15:30:30,-436.5338355163367,
2023-03-21 23:59:59,-436.5338355163367,c
