date,MSCI_US_SC_STAY_2022_Q1,meta
2022-03-15 10:00:00,-317.34517857305985,
2022-03-15 10:30:00,-296.8898739113482,
2022-03-15 12:00:00,-315.12723847941726,
2022-03-15 13:30:00,-307.15262339876733,
2022-03-15 15:00:00,-307.98975281043806,
2022-03-15 15:30:30,-307.98975281043806,
2022-03-15 23:59:59,-308.24909617109176,c
2022-03-16 00:00:00,-302.0715289448105,
2022-03-16 10:00:00,-300.1980974548723,
2022-03-16 10:30:00,-288.62925890939414,
2022-03-16 12:00:00,-286.6179314010218,
2022-03-16 13:30:00,-312.4729379179347,
2022-03-16 15:00:00,-317.63634434333574,
2022-03-16 15:30:30,-317.63634434333574,
2022-03-16 23:59:59,-335.37245765961563,c
2022-03-17 00:00:00,-326.38141346852746,
2022-03-17 10:00:00,-289.1046354936317,
2022-03-17 10:30:00,-278.34848601473175,
2022-03-17 12:00:00,-272.222607469901,
2022-03-17 13:30:00,-270.69166657163464,
2022-03-17 15:00:00,-263.3919496626085,
2022-03-17 15:30:30,-263.3919496626085,
2022-03-17 23:59:59,-283.72969923934176,c
2022-03-18 00:00:00,-276.3315295959527,
2022-03-18 10:00:00,-211.8167356100114,
2022-03-18 10:30:00,-202.81459801884546,
2022-03-18 12:00:00,-200.72956790855517,
2022-03-18 13:30:00,-194.41480674276679,
2022-03-18 15:00:00,-210.92653260946415,
2022-03-18 15:30:30,-210.92653260946415,q
2022-03-18 23:59:59,-232.21957456043253,w
2022-03-21 00:00:00,-242.1154344648483,
2022-03-21 10:00:00,-238.70740846604906,
2022-03-21 10:30:00,-248.37032201786434,
2022-03-21 12:00:00,-189.65572276276546,
2022-03-21 13:30:00,-227.13978150846228,
2022-03-21 15:00:00,-223.43223064766448,
2022-03-21 15:30:30,-223.43223064766448,
2022-03-21 23:59:59,-226.04802339972468,c
