date,MORN_2022_Q2,meta
2022-06-30 10:00:00,-176.34600285522242,
2022-06-30 10:30:00,-171.968871678592,
2022-06-30 12:00:00,-107.13843704628061,
2022-06-30 13:30:00,-120.57793378660722,
2022-06-30 15:00:00,-130.37326608609283,
2022-06-30 15:30:30,-130.37326608609283,
2022-06-30 23:59:59,-134.3076223348537,c
2022-07-01 00:00:00,-125.55945491808689,
2022-07-01 10:00:00,-67.82718706038486,
2022-07-01 10:30:00,-91.73015106815615,
2022-07-01 12:00:00,-96.54951741811533,
2022-07-01 13:30:00,-88.08372392825822,
2022-07-01 15:00:00,-76.79982491631517,
2022-07-01 15:30:30,-76.79982491631517,
2022-07-01 23:59:59,-69.33666563610882,w
