date,FTSE_EM_ADR_2022_Q3,meta
2022-09-29 10:00:00,-440.8999183372043,
2022-09-29 10:30:00,-468.8757057562907,
2022-09-29 12:00:00,-526.8758860159637,
2022-09-29 13:30:00,-526.2345459831713,
2022-09-29 15:00:00,-532.2486791130991,
2022-09-29 15:30:30,-532.2486791130991,
2022-09-29 23:59:59,-472.4156786437761,c
2022-09-30 00:00:00,-418.508396949112,
2022-09-30 10:00:00,-357.9835893390373,
2022-09-30 10:30:00,-291.54285593093255,
2022-09-30 12:00:00,-182.85641002278408,
2022-09-30 13:30:00,-179.18474896724,
2022-09-30 15:00:00,-228.08802418123105,
2022-09-30 15:30:30,-228.08802418123105,
2022-09-30 23:59:59,-240.26432270444775,w
2022-10-03 00:00:00,-226.83984761736883,
2022-10-03 10:00:00,-248.3541438688585,
2022-10-03 10:30:00,-259.7735052285493,
2022-10-03 12:00:00,-335.2975682141914,
2022-10-03 13:30:00,-284.9895450436484,
2022-10-03 15:00:00,-282.5827582273978,
2022-10-03 15:30:30,-282.5827582273978,
2022-10-03 23:59:59,-327.5128973171759,c
2022-10-04 00:00:00,-256.0210384128686,
2022-10-04 10:00:00,-197.89842163911817,
2022-10-04 10:30:00,-185.9819294570566,
2022-10-04 12:00:00,-113.57106309242408,
2022-10-04 13:30:00,-161.6340023372959,
2022-10-04 15:00:00,-123.9335910438981,
2022-10-04 15:30:30,-123.9335910438981,
2022-10-04 23:59:59,-138.85986237251382,c
2022-10-05 00:00:00,-167.11876829266293,
2022-10-05 10:00:00,-202.10163636116613,
2022-10-05 10:30:00,-260.58513223959653,
2022-10-05 12:00:00,-209.68148756682285,
2022-10-05 13:30:00,-141.58875890571426,
2022-10-05 15:00:00,-61.68765340333175,
2022-10-05 15:30:30,-61.68765340333175,
2022-10-05 23:59:59,-109.86383898766235,c
2022-10-06 00:00:00,-114.741588552758,
2022-10-06 10:00:00,-153.40179551374194,
2022-10-06 10:30:00,-296.6789919839912,
2022-10-06 12:00:00,-277.21067348543465,
2022-10-06 13:30:00,-263.6173678933342,
2022-10-06 15:00:00,-343.4845007873787,
2022-10-06 15:30:30,-343.4845007873787,
2022-10-06 23:59:59,-342.86867752716535,c
2022-10-07 00:00:00,-369.68737021344305,
2022-10-07 10:00:00,-496.96641284849784,
2022-10-07 10:30:00,-466.69235510276303,
2022-10-07 12:00:00,-518.305783258108,
2022-10-07 13:30:00,-526.5294946154659,
2022-10-07 15:00:00,-516.0242152953715,
2022-10-07 15:30:30,-516.0242152953715,
2022-10-07 23:59:59,-502.99418402380024,w
