date,SCHWAB_2022_Q2,meta
2022-07-06 10:00:00,-319.4814610168896,
2022-07-06 10:30:00,-374.06587334888354,
2022-07-06 12:00:00,-393.0801898764553,
2022-07-06 13:30:00,-371.04158270223525,
2022-07-06 15:00:00,-372.64004165722645,
2022-07-06 15:30:30,-372.64004165722645,
2022-07-06 23:59:59,-389.2417078178223,c
2022-07-07 00:00:00,-363.3766287415292,
2022-07-07 10:00:00,-312.73554379684765,
2022-07-07 10:30:00,-329.8674450994904,
2022-07-07 12:00:00,-290.5346197019712,
2022-07-07 13:30:00,-299.74521489849576,
2022-07-07 15:00:00,-289.3744481618578,
2022-07-07 15:30:30,-289.3744481618578,
2022-07-07 23:59:59,-279.6533895876996,c
2022-07-08 00:00:00,-306.4141161837465,
2022-07-08 10:00:00,-344.6299508281827,
2022-07-08 10:30:00,-270.36033761966564,
2022-07-08 12:00:00,-239.48203776368746,
2022-07-08 13:30:00,-268.44677742762406,
2022-07-08 15:00:00,-241.10219457267885,
2022-07-08 15:30:30,-241.10219457267885,
2022-07-08 23:59:59,-253.1174353132801,w
