date,AS_FTSE_DM_SC_2022_Q1,meta
2022-03-15 20:00:00,316.2102204105134,
2022-03-15 23:00:00,283.2348237445864,
2022-03-15 23:59:59,270.38819332728895,c
2022-03-16 00:00:00,289.3931385920912,
2022-03-16 01:00:00,293.2647323942985,
2022-03-16 02:30:00,306.2555202106362,
2022-03-16 03:00:00,306.0810922046938,
2022-03-16 18:30:00,311.5510365314592,
2022-03-16 20:00:00,351.48639630566623,
2022-03-16 23:00:00,351.26633680227735,
2022-03-16 23:59:59,346.50543811894676,c
2022-03-17 00:00:00,350.9385957819553,
2022-03-17 01:00:00,322.4993327161065,
2022-03-17 02:30:00,320.6807510318127,
2022-03-17 03:00:00,321.40133019514667,
2022-03-17 18:30:00,318.09395263568,
2022-03-17 20:00:00,293.5347945310473,
2022-03-17 23:00:00,403.0731810895261,
2022-03-17 23:59:59,438.36348817500345,c
2022-03-18 00:00:00,466.8428948003372,
2022-03-18 01:00:00,469.59676351428914,
2022-03-18 02:30:00,453.60592903632573,
2022-03-18 03:00:00,454.17894411171125,
2022-03-18 18:30:00,454.17894411171125,
2022-03-18 20:00:00,454.17894411171125,
2022-03-18 23:00:00,454.17894411171125,
2022-03-18 23:59:59,448.2703735291309,e
2022-03-21 00:00:00,481.96330574579287,
2022-03-21 01:00:00,492.7265133329217,
2022-03-21 02:30:00,491.0561772710955,
2022-03-21 03:00:00,491.9378350247338,
2022-03-21 18:30:00,492.0583284063611,
2022-03-21 20:00:00,460.54039091303326,
2022-03-21 23:00:00,508.6537654231613,
2022-03-21 23:59:59,512.7399886632322,c
2022-03-22 00:00:00,513.2525439232505,
2022-03-22 01:00:00,520.9000200073142,
2022-03-22 02:30:00,524.6322642682636,
2022-03-22 03:00:00,523.6261363002873,
2022-03-22 18:30:00,525.8320014086025,
2022-03-22 20:00:00,510.9659963055161,
2022-03-22 23:00:00,544.503443495628,
2022-03-22 23:59:59,541.1987465503831,c
2022-03-23 00:00:00,552.173366190982,
2022-03-23 01:00:00,542.9101946021666,
2022-03-23 02:30:00,541.2073784596852,
2022-03-23 03:00:00,540.8470971310383,
2022-03-23 18:30:00,542.5623060419388,
2022-03-23 20:00:00,604.5838387487297,
2022-03-23 23:00:00,584.7598800033617,
2022-03-23 23:59:59,589.4463333316269,c
2022-03-24 00:00:00,586.009857090058,
2022-03-24 01:00:00,564.584290415909,
2022-03-24 02:30:00,563.1642985187651,
2022-03-24 03:00:00,561.110954502066,
2022-03-24 18:30:00,559.5187773637203,
2022-03-24 20:00:00,546.7570328414549,
2022-03-24 23:00:00,517.0182946561802,
2022-03-24 23:59:59,517.5890413422889,c
2022-03-25 00:00:00,522.8957534389845,
2022-03-25 01:00:00,521.6505085249097,
2022-03-25 02:30:00,519.5147781375981,
2022-03-25 03:00:00,519.960463508581,
2022-03-25 18:30:00,519.960463508581,
2022-03-25 20:00:00,519.960463508581,
2022-03-25 23:00:00,519.960463508581,
2022-03-25 23:59:59,526.5858050267292,w
2022-03-28 00:00:00,511.3684790874495,
2022-03-28 01:00:00,495.8206620347687,
2022-03-28 02:30:00,503.4861450676478,
2022-03-28 03:00:00,503.73123341425674,
2022-03-28 18:30:00,502.0717637922687,
2022-03-28 20:00:00,513.2434232375999,
2022-03-28 23:00:00,546.4879467174437,
2022-03-28 23:59:59,524.7812345614896,c
2022-03-29 00:00:00,533.5266208374711,
2022-03-29 01:00:00,556.8580878592902,
2022-03-29 02:30:00,558.0814943111104,
2022-03-29 03:00:00,556.4815235794819,
2022-03-29 18:30:00,559.4750522875418,
2022-03-29 20:00:00,527.9159688899182,
2022-03-29 23:00:00,546.8759297837074,
2022-03-29 23:59:59,546.6982953283414,c
2022-03-30 00:00:00,553.1594786462192,
2022-03-30 01:00:00,541.1355622596154,
2022-03-30 02:30:00,544.3959277194084,
2022-03-30 03:00:00,542.4943108392504,
2022-03-30 18:30:00,546.1995867748205,
2022-03-30 20:00:00,564.687099580344,
2022-03-30 23:00:00,582.1427252808692,
2022-03-30 23:59:59,594.0324896845943,c
2022-03-31 00:00:00,601.0152846662153,
2022-03-31 01:00:00,604.8404259348764,
2022-03-31 02:30:00,613.1897785688736,
2022-03-31 03:00:00,612.5470322644699,
2022-03-31 18:30:00,614.9051656911256,
2022-03-31 20:00:00,696.2672263548366,
2022-03-31 23:00:00,746.1933631951384,
2022-03-31 23:59:59,760.2879701735241,c
2022-04-01 00:00:00,781.0603396568523,
2022-04-01 01:00:00,789.1176805064151,
2022-04-01 02:30:00,790.6820779960492,
2022-04-01 03:00:00,791.774845113224,
2022-04-01 18:30:00,791.774845113224,
2022-04-01 20:00:00,791.774845113224,
2022-04-01 23:00:00,791.774845113224,
2022-04-01 23:59:59,786.8934349224719,w
2022-04-04 00:00:00,865.2010615186439,
2022-04-04 01:00:00,855.0636448544922,
2022-04-04 02:30:00,879.1631940942298,
2022-04-04 03:00:00,879.5072226853242,
2022-04-04 18:30:00,878.6970061833458,
2022-04-04 20:00:00,878.846912237465,
2022-04-04 23:00:00,798.5240266289177,
2022-04-04 23:59:59,793.6915625843374,c
2022-04-05 00:00:00,809.6575540215609,
2022-04-05 01:00:00,785.7732099968623,
2022-04-05 02:30:00,781.4226691356209,
2022-04-05 03:00:00,781.424675129992,
2022-04-05 18:30:00,780.477935547642,
2022-04-05 20:00:00,780.4857358920501,
2022-04-05 23:00:00,809.6838046917715,
2022-04-05 23:59:59,795.0745135327563,c
2022-04-06 00:00:00,748.2134363983655,
2022-04-06 01:00:00,749.7689222980978,
2022-04-06 02:30:00,723.736465014316,
2022-04-06 03:00:00,727.082083934924,
2022-04-06 18:30:00,735.52325655352,
2022-04-06 20:00:00,735.5000393350206,
2022-04-06 23:00:00,732.224003126059,
2022-04-06 23:59:59,709.9569647704335,c
2022-04-07 00:00:00,691.0063888806932,
2022-04-07 01:00:00,661.2080518784335,
2022-04-07 02:30:00,666.4457527911266,
2022-04-07 03:00:00,666.5025041458867,
2022-04-07 18:30:00,666.4507572654263,
2022-04-07 20:00:00,666.5111214929767,
2022-04-07 23:00:00,645.8161033542674,
2022-04-07 23:59:59,626.0290386873842,c
2022-04-08 00:00:00,645.3266639664494,
2022-04-08 01:00:00,638.0276271834655,
2022-04-08 02:30:00,621.358592804673,
2022-04-08 03:00:00,620.289967042225,
2022-04-08 18:30:00,620.289967042225,
2022-04-08 20:00:00,620.289967042225,
2022-04-08 23:00:00,620.289967042225,
2022-04-08 23:59:59,621.521314054629,w
