date,HDV_HEDGED_2022_Q1,meta
2022-04-06 00:00:00,-76.54027349727346,
2022-04-06 10:00:00,-78.20635633353857,
2022-04-06 10:30:00,-83.30927891784154,
2022-04-06 12:00:00,-91.87589029034984,
2022-04-06 13:30:00,-93.52208519794863,
2022-04-06 15:00:00,-96.43110643531031,
2022-04-06 15:30:30,-96.43110643531031,
2022-04-06 23:59:59,-98.5312526097174,c
2022-04-07 00:00:00,-104.95105502777756,
2022-04-07 10:00:00,-111.50681598078097,
2022-04-07 10:30:00,-114.78275265997843,
2022-04-07 12:00:00,-124.81725551352088,
2022-04-07 13:30:00,-119.6805403885229,
2022-04-07 15:00:00,-114.56763814946146,
2022-04-07 15:30:30,-114.56763814946146,
2022-04-07 23:59:59,-118.13023368494373,c
2022-04-08 00:00:00,-118.09265294791237,
2022-04-08 10:00:00,-117.05826909320547,
2022-04-08 10:30:00,-109.30983421409508,
2022-04-08 12:00:00,-110.1913922389266,
2022-04-08 13:30:00,-111.88366044365875,
2022-04-08 15:00:00,-113.44356307755459,
2022-04-08 15:30:30,-113.44356307755459,
2022-04-08 23:59:59,-112.3848623988481,w
