date,MSCI_FACT_QUAL_HEDGED_2021_Q4,meta
2021-12-07 23:59:59,25.545596810372004,c
2021-12-08 00:00:00,5.952941173250807,
2021-12-08 10:00:00,9.972885939013963,
2021-12-08 10:30:00,12.064764238980075,
2021-12-08 12:00:00,29.574257187303573,
2021-12-08 13:30:00,32.52251975777017,
2021-12-08 15:00:00,28.869171767885817,
2021-12-08 15:30:30,28.869171767885817,
2021-12-08 23:59:59,24.010972142712262,c
2021-12-09 00:00:00,20.68252634634574,
2021-12-09 10:00:00,27.8689706466496,
2021-12-09 10:30:00,31.863222487699986,
2021-12-09 12:00:00,18.737897678516973,
2021-12-09 13:30:00,16.36734983301757,
2021-12-09 15:00:00,9.158987039023629,
2021-12-09 15:30:30,9.158987039023629,
2021-12-09 23:59:59,12.05397912479043,c
2021-12-10 00:00:00,-12.907927320077029,
2021-12-10 10:00:00,0.3802357706434094,
2021-12-10 10:30:00,0.596653048425253,
2021-12-10 12:00:00,7.522341367059937,
2021-12-10 13:30:00,10.463166244222052,
2021-12-10 15:00:00,-2.2097663902819136,
2021-12-10 15:30:30,-2.2097663902819136,
2021-12-10 23:59:59,-1.4629626417133608,w
2021-12-13 00:00:00,5.767076642724533,
2021-12-13 10:00:00,12.496960724092858,
2021-12-13 10:30:00,15.175144159524308,
2021-12-13 12:00:00,4.430570783778691,
2021-12-13 13:30:00,10.00818722138338,
2021-12-13 15:00:00,3.883035248976938,
2021-12-13 15:30:30,3.883035248976938,
2021-12-13 23:59:59,-0.9292648098051615,c
2021-12-14 00:00:00,-12.5489041676528,
2021-12-14 10:00:00,3.353611501537415,
2021-12-14 10:30:00,-0.881002684275316,
2021-12-14 12:00:00,6.061989161063565,
2021-12-14 13:30:00,-4.028180879680981,
2021-12-14 15:00:00,5.272505646028776,
2021-12-14 15:30:30,5.272505646028776,
2021-12-14 23:59:59,8.637343168295757,c
2021-12-15 00:00:00,16.837909753470285,
2021-12-15 10:00:00,13.019511269242884,
2021-12-15 10:30:00,13.263508727726006,
2021-12-15 12:00:00,1.9234307925740808,
2021-12-15 13:30:00,1.1013500205092868,
2021-12-15 15:00:00,2.2470672320047953,
2021-12-15 15:30:30,2.2470672320047953,
2021-12-15 23:59:59,10.609670977091113,c
2021-12-16 00:00:00,23.015900910990766,
2021-12-16 10:00:00,29.23263517287637,
2021-12-16 10:30:00,37.37384218175477,
2021-12-16 12:00:00,28.236560625329943,
2021-12-16 13:30:00,21.497057752357577,
2021-12-16 15:00:00,20.657881982804668,
2021-12-16 15:30:30,20.657881982804668,
2021-12-16 23:59:59,26.130660757993326,c
2021-12-17 00:00:00,5.571928656430373,
2021-12-17 10:00:00,-7.484439231907665,
2021-12-17 10:30:00,4.544779193654321,
2021-12-17 12:00:00,5.766628645864458,
2021-12-17 13:30:00,16.409367001319595,
2021-12-17 15:00:00,16.272643140580243,
2021-12-17 15:30:30,16.272643140580243,q
2021-12-17 23:59:59,25.910484075025707,w
2021-12-20 00:00:00,37.564016078385364,
2021-12-20 10:00:00,9.280264130275114,
2021-12-20 10:30:00,14.972174632640673,
2021-12-20 12:00:00,2.6352519176555944,
2021-12-20 13:30:00,-7.974628101734993,
2021-12-20 15:00:00,-11.740579715498292,
2021-12-20 15:30:30,-11.740579715498292,
2021-12-20 23:59:59,-16.375364193839502,c
2021-12-21 00:00:00,-9.33430115265449,
2021-12-21 10:00:00,-14.387212245534528,
2021-12-21 10:30:00,-15.170864425731367,
2021-12-21 12:00:00,-9.062962470036084,
2021-12-21 13:30:00,-15.07977374619312,
2021-12-21 15:00:00,-14.954161719816263,
2021-12-21 15:30:30,-14.954161719816263,
2021-12-21 23:59:59,-14.874479735502938,c
