date,AS_MSCI_EM_REST_AD_2022_Q3,meta
2022-08-17 23:59:59,81.41482583347944,c
2022-08-18 00:00:00,61.45102747995831,
2022-08-18 01:00:00,45.93999945922695,
2022-08-18 02:30:00,45.93999945922695,
2022-08-18 03:00:00,45.93999945922695,
2022-08-18 18:30:00,45.93999945922695,
2022-08-18 20:00:00,45.93999945922695,
2022-08-18 23:00:00,106.8841415036859,
2022-08-18 23:59:59,96.62740047861038,c
2022-08-19 00:00:00,94.86065827624411,
2022-08-19 01:00:00,77.83827086225395,
2022-08-19 02:30:00,77.83827086225395,
2022-08-19 03:00:00,77.83827086225395,
2022-08-19 18:30:00,77.83827086225395,
2022-08-19 20:00:00,77.83827086225395,
2022-08-19 23:00:00,77.83827086225395,
2022-08-19 23:59:59,53.44569200786785,w
2022-08-22 00:00:00,8.276111206261177,
2022-08-22 01:00:00,2.235941666183855,
2022-08-22 02:30:00,2.235941666183855,
2022-08-22 03:00:00,2.235941666183855,
2022-08-22 18:30:00,2.235941666183855,
2022-08-22 20:00:00,2.235941666183855,
2022-08-22 23:00:00,-46.02875478994732,
2022-08-22 23:59:59,-46.382195735515985,c
2022-08-23 00:00:00,-53.63205600253598,
2022-08-23 01:00:00,-70.67678412784312,
2022-08-23 02:30:00,-70.67678412784312,
2022-08-23 03:00:00,-70.67678412784312,
2022-08-23 18:30:00,-70.67678412784312,
2022-08-23 20:00:00,-70.67678412784312,
2022-08-23 23:00:00,-48.56374431692685,
2022-08-23 23:59:59,-47.56771546047607,c
2022-08-24 00:00:00,-52.935278502391064,
2022-08-24 01:00:00,-34.54960925043449,
2022-08-24 02:30:00,-34.54960925043449,
2022-08-24 03:00:00,-34.54960925043449,
2022-08-24 18:30:00,-34.54960925043449,
2022-08-24 20:00:00,-34.54960925043449,
2022-08-24 23:00:00,-75.14853831067416,
2022-08-24 23:59:59,-96.60832627881209,c
2022-08-25 00:00:00,-91.28358655123006,
2022-08-25 01:00:00,-98.00283673205945,
2022-08-25 02:30:00,-98.00283673205945,
2022-08-25 03:00:00,-98.00283673205945,
2022-08-25 18:30:00,-98.00283673205945,
2022-08-25 20:00:00,-98.00283673205945,
2022-08-25 23:00:00,-54.32781433387755,
2022-08-25 23:59:59,-82.0890296811113,c
2022-08-26 00:00:00,-61.219201507128496,
2022-08-26 01:00:00,-16.32470752534737,
2022-08-26 02:30:00,-16.32470752534737,
2022-08-26 03:00:00,-16.32470752534737,
2022-08-26 18:30:00,-16.32470752534737,
2022-08-26 20:00:00,-16.32470752534737,
2022-08-26 23:00:00,-16.32470752534737,
2022-08-26 23:59:59,-11.003886785451535,w
2022-08-29 00:00:00,-67.38127254870292,
2022-08-29 01:00:00,-63.56761098452515,
2022-08-29 02:30:00,-63.56761098452515,
2022-08-29 03:00:00,-63.56761098452515,
2022-08-29 18:30:00,-63.56761098452515,
2022-08-29 20:00:00,-63.56761098452515,
2022-08-29 23:00:00,-127.25965324328106,
2022-08-29 23:59:59,-136.97656149365093,c
2022-08-30 00:00:00,-119.67055404336952,
2022-08-30 01:00:00,-141.82986709719023,
2022-08-30 02:30:00,-141.82986709719023,
2022-08-30 03:00:00,-141.82986709719023,
2022-08-30 18:30:00,-141.82986709719023,
2022-08-30 20:00:00,-141.82986709719023,
2022-08-30 23:00:00,-180.66168473183575,
2022-08-30 23:59:59,-143.32025887611854,c
2022-08-31 00:00:00,-145.20396139853688,
2022-08-31 01:00:00,-116.90859101161925,
2022-08-31 02:30:00,-116.90859101161925,
2022-08-31 03:00:00,-116.90859101161925,
2022-08-31 18:30:00,-116.90859101161925,
2022-08-31 20:00:00,-116.90859101161925,
2022-08-31 23:00:00,-177.89325411104446,
2022-08-31 23:59:59,-175.0248947689546,e
2022-09-01 00:00:00,-195.97827787116464,
2022-09-01 01:00:00,-205.37491958049262,
2022-09-01 02:30:00,-205.37491958049262,
2022-09-01 03:00:00,-205.37491958049262,
2022-09-01 18:30:00,-205.37491958049262,
2022-09-01 20:00:00,-205.37491958049262,
2022-09-01 23:00:00,-195.78151172061357,
2022-09-01 23:59:59,-191.730466457642,c
2022-09-02 00:00:00,-201.049405359046,
2022-09-02 01:00:00,-200.1870408924652,
2022-09-02 02:30:00,-200.1870408924652,
2022-09-02 03:00:00,-200.1870408924652,
2022-09-02 18:30:00,-200.1870408924652,
2022-09-02 20:00:00,-200.1870408924652,
2022-09-02 23:00:00,-200.1870408924652,
2022-09-02 23:59:59,-244.10264030492945,w
2022-09-05 00:00:00,-260.22171484496187,
2022-09-05 01:00:00,-244.50660632186143,
2022-09-05 02:30:00,-244.50660632186143,
2022-09-05 03:00:00,-244.50660632186143,
2022-09-05 18:30:00,-244.50660632186143,
2022-09-05 20:00:00,-244.50660632186143,
2022-09-05 23:00:00,-189.58059453208767,
2022-09-05 23:59:59,-184.64499722056303,c
2022-09-06 00:00:00,-164.61992375826767,
2022-09-06 01:00:00,-150.30509360112237,
2022-09-06 02:30:00,-150.30509360112237,
2022-09-06 03:00:00,-150.30509360112237,
2022-09-06 18:30:00,-150.30509360112237,
2022-09-06 20:00:00,-150.30509360112237,
2022-09-06 23:00:00,-223.15326131120545,
2022-09-06 23:59:59,-245.5899172451241,c
2022-09-07 00:00:00,-262.5129320323061,
2022-09-07 01:00:00,-275.1251301976282,
2022-09-07 02:30:00,-275.1251301976282,
2022-09-07 03:00:00,-275.1251301976282,
2022-09-07 18:30:00,-275.1251301976282,
2022-09-07 20:00:00,-275.1251301976282,
2022-09-07 23:00:00,-235.52045698163656,
2022-09-07 23:59:59,-223.5926508638357,c
2022-09-08 00:00:00,-222.65031195718743,
2022-09-08 01:00:00,-235.70408546002452,
2022-09-08 02:30:00,-235.70408546002452,
2022-09-08 03:00:00,-235.70408546002452,
2022-09-08 18:30:00,-235.70408546002452,
2022-09-08 20:00:00,-235.70408546002452,
2022-09-08 23:00:00,-235.70408546002452,
2022-09-08 23:59:59,-245.44018669007457,c
2022-09-09 00:00:00,-245.44018669007457,
2022-09-09 01:00:00,-245.44018669007457,
2022-09-09 02:30:00,-245.44018669007457,
2022-09-09 03:00:00,-245.44018669007457,
2022-09-09 18:30:00,-245.44018669007457,
2022-09-09 20:00:00,-245.44018669007457,
2022-09-09 23:00:00,-245.44018669007457,
2022-09-09 23:59:59,-245.44018669007457,w
2022-09-12 00:00:00,-245.44018669007457,
2022-09-12 01:00:00,-245.44018669007457,
2022-09-12 02:30:00,-245.44018669007457,
2022-09-12 03:00:00,-245.44018669007457,
2022-09-12 18:30:00,-245.44018669007457,
2022-09-12 20:00:00,-245.44018669007457,
2022-09-12 23:00:00,-228.0915692837206,
2022-09-12 23:59:59,-228.0915692837206,c
2022-09-13 00:00:00,-163.92214462884536,
2022-09-13 01:00:00,-137.7995985244138,
2022-09-13 02:30:00,-137.7995985244138,
2022-09-13 03:00:00,-137.7995985244138,
2022-09-13 18:30:00,-137.7995985244138,
2022-09-13 20:00:00,-137.7995985244138,
2022-09-13 23:00:00,-105.52828954150286,
2022-09-13 23:59:59,-104.42364977269747,c
2022-09-14 00:00:00,-146.60511689660788,
2022-09-14 01:00:00,-125.51029339384397,
2022-09-14 02:30:00,-125.51029339384397,
2022-09-14 03:00:00,-125.51029339384397,
2022-09-14 18:30:00,-125.51029339384397,
2022-09-14 20:00:00,-125.51029339384397,
2022-09-14 23:00:00,-158.46428357489327,
2022-09-14 23:59:59,-173.99255546346694,c
2022-09-15 00:00:00,-167.88524633200961,
2022-09-15 01:00:00,-178.3925102761376,
2022-09-15 02:30:00,-178.3925102761376,
2022-09-15 03:00:00,-178.3925102761376,
2022-09-15 18:30:00,-178.3925102761376,
2022-09-15 20:00:00,-178.3925102761376,
2022-09-15 23:00:00,-227.58787460244136,
2022-09-15 23:59:59,-242.1280860252525,c
2022-09-16 00:00:00,-244.9187401084283,
2022-09-16 01:00:00,-263.1841985917298,
2022-09-16 02:30:00,-263.1841985917298,
2022-09-16 03:00:00,-263.1841985917298,
2022-09-16 18:30:00,-263.1841985917298,
2022-09-16 20:00:00,-263.1841985917298,
2022-09-16 23:00:00,-263.1841985917298,
2022-09-16 23:59:59,-327.03045412671986,w
2022-09-19 00:00:00,-327.2450039509212,
2022-09-19 01:00:00,-330.216130847405,
2022-09-19 02:30:00,-330.216130847405,
2022-09-19 03:00:00,-330.216130847405,
2022-09-19 18:30:00,-330.216130847405,
2022-09-19 20:00:00,-330.216130847405,
2022-09-19 23:00:00,-294.38412575997535,
2022-09-19 23:59:59,-288.8897529080234,c
2022-09-20 00:00:00,-290.9621286872094,
2022-09-20 01:00:00,-303.3854929746038,
2022-09-20 02:30:00,-303.3854929746038,
2022-09-20 03:00:00,-303.3854929746038,
2022-09-20 18:30:00,-303.3854929746038,
2022-09-20 20:00:00,-303.3854929746038,
2022-09-20 23:00:00,-297.6194160701158,
2022-09-20 23:59:59,-307.475146862439,c
2022-09-21 00:00:00,-319.3456938923193,
2022-09-21 01:00:00,-326.79831011841867,
2022-09-21 02:30:00,-326.79831011841867,
2022-09-21 03:00:00,-326.79831011841867,
2022-09-21 18:30:00,-326.79831011841867,
2022-09-21 20:00:00,-326.79831011841867,
2022-09-21 23:00:00,-317.9297043544758,
2022-09-21 23:59:59,-325.99069451456285,c
2022-09-22 00:00:00,-350.7569259943759,
2022-09-22 01:00:00,-347.29436785027104,
2022-09-22 02:30:00,-347.29436785027104,
2022-09-22 03:00:00,-347.29436785027104,
2022-09-22 18:30:00,-347.29436785027104,
2022-09-22 20:00:00,-347.29436785027104,
2022-09-22 23:00:00,-385.15616171207006,
2022-09-22 23:59:59,-406.48464469264115,c
2022-09-23 00:00:00,-416.3654631769017,
2022-09-23 01:00:00,-444.4815190962871,
2022-09-23 02:30:00,-444.4815190962871,
2022-09-23 03:00:00,-444.4815190962871,
2022-09-23 18:30:00,-444.4815190962871,
2022-09-23 20:00:00,-444.4815190962871,
2022-09-23 23:00:00,-444.4815190962871,
2022-09-23 23:59:59,-493.7841804449023,w
2022-09-26 00:00:00,-593.9425276999856,
2022-09-26 01:00:00,-593.7273148029121,
2022-09-26 02:30:00,-593.7273148029121,
2022-09-26 03:00:00,-593.7273148029121,
2022-09-26 18:30:00,-593.7273148029121,
2022-09-26 20:00:00,-593.7273148029121,
2022-09-26 23:00:00,-556.1348598102029,
2022-09-26 23:59:59,-646.4615191300638,c
2022-09-27 00:00:00,-641.509593555801,
2022-09-27 01:00:00,-625.475224816907,
2022-09-27 02:30:00,-625.475224816907,
2022-09-27 03:00:00,-625.475224816907,
2022-09-27 18:30:00,-625.475224816907,
2022-09-27 20:00:00,-625.475224816907,
2022-09-27 23:00:00,-567.2519962254528,
2022-09-27 23:59:59,-581.0945129093511,c
2022-09-28 00:00:00,-574.780929333901,
2022-09-28 01:00:00,-595.1564540460256,
2022-09-28 02:30:00,-595.1564540460256,
2022-09-28 03:00:00,-595.1564540460256,
2022-09-28 18:30:00,-595.1564540460256,
2022-09-28 20:00:00,-595.1564540460256,
2022-09-28 23:00:00,-595.1564540460256,
2022-09-28 23:59:59,-576.6048768396113,c
