date,AS_FTSE_DM_AD_2023_Q1,meta
2023-02-24 00:00:00,-24.30449352446138,
2023-02-24 01:00:00,-14.970034038385634,
2023-02-24 02:30:00,-14.970034038385634,
2023-02-24 03:00:00,-14.970034038385634,
2023-02-24 18:30:00,-14.970034038385634,
2023-02-24 20:00:00,-14.970034038385634,
2023-02-24 23:00:00,-14.970034038385634,
2023-02-24 23:59:59,-15.156835325853677,w
2023-02-27 00:00:00,2.4882568359039112,
2023-02-27 01:00:00,-14.78241608038607,
2023-02-27 02:30:00,-14.78241608038607,
2023-02-27 03:00:00,-14.78241608038607,
2023-02-27 18:30:00,-27.783813812271873,
2023-02-27 20:00:00,4.166407285654401,
2023-02-27 23:00:00,19.561898018742028,
2023-02-27 23:59:59,8.665083887269446,c
2023-02-28 00:00:00,17.376731848162933,
2023-02-28 01:00:00,31.10255855417796,
2023-02-28 02:30:00,31.10255855417796,
2023-02-28 03:00:00,31.10255855417796,
2023-02-28 18:30:00,36.26803066697744,
2023-02-28 20:00:00,45.66240634218579,
2023-02-28 23:00:00,40.94164244663588,
2023-02-28 23:59:59,36.38533069849868,c
2023-03-01 00:00:00,50.81150063456204,
2023-03-01 01:00:00,49.39965046150354,
2023-03-01 02:30:00,49.39965046150354,
2023-03-01 03:00:00,49.39965046150354,
2023-03-01 18:30:00,49.52016897420859,
2023-03-01 20:00:00,40.201134158967676,
2023-03-01 23:00:00,47.83109142304929,
2023-03-01 23:59:59,32.583446011535415,c
2023-03-02 00:00:00,10.569262937851136,
2023-03-02 01:00:00,14.370988201720792,
2023-03-02 02:30:00,14.370988201720792,
2023-03-02 03:00:00,14.370988201720792,
2023-03-02 18:30:00,18.03159256994499,
2023-03-02 20:00:00,-14.164461004915964,
2023-03-02 23:00:00,-33.32859030839484,
2023-03-02 23:59:59,-22.63684799002452,c
2023-03-03 00:00:00,-20.10730984838152,
2023-03-03 01:00:00,-14.190707721190137,
2023-03-03 02:30:00,-14.190707721190137,
2023-03-03 03:00:00,-14.190707721190137,
2023-03-03 18:30:00,-14.190707721190137,
2023-03-03 20:00:00,-14.190707721190137,
2023-03-03 23:00:00,-14.190707721190137,
2023-03-03 23:59:59,-14.768847439188747,w
2023-03-06 00:00:00,-60.29997225355132,
2023-03-06 01:00:00,-47.31665000929601,
2023-03-06 02:30:00,-47.31665000929601,
2023-03-06 03:00:00,-47.31665000929601,
2023-03-06 18:30:00,-35.11885907774108,
2023-03-06 20:00:00,-66.65613128733087,
2023-03-06 23:00:00,-82.68536614706157,
2023-03-06 23:59:59,-76.2370882337139,c
2023-03-07 00:00:00,-91.97863213197249,
2023-03-07 01:00:00,-96.0257593196529,
2023-03-07 02:30:00,-96.0257593196529,
2023-03-07 03:00:00,-96.0257593196529,
2023-03-07 18:30:00,-101.29782050499978,
2023-03-07 20:00:00,-112.28323930439751,
2023-03-07 23:00:00,-112.4483229953819,
2023-03-07 23:59:59,-120.86866245745094,c
2023-03-08 00:00:00,-122.33105470470012,
2023-03-08 01:00:00,-120.05190199074175,
2023-03-08 02:30:00,-120.05190199074175,
2023-03-08 03:00:00,-120.05190199074175,
2023-03-08 18:30:00,-112.09470289577621,
2023-03-08 20:00:00,-115.5856590147924,
2023-03-08 23:00:00,-80.48568194342128,
2023-03-08 23:59:59,-94.22338759891312,c
2023-03-09 00:00:00,-97.56227356151231,
2023-03-09 01:00:00,-90.32262283772596,
2023-03-09 02:30:00,-90.32262283772596,
2023-03-09 03:00:00,-90.32262283772596,
2023-03-09 18:30:00,-90.32262283772596,
2023-03-09 20:00:00,-149.48578660478506,
2023-03-09 23:00:00,-141.71573571760135,
2023-03-09 23:59:59,-146.1641854857695,c
2023-03-10 00:00:00,-132.33431069413226,
2023-03-10 01:00:00,-130.7516866768766,
2023-03-10 02:30:00,-130.7516866768766,
2023-03-10 03:00:00,-130.7516866768766,
2023-03-10 18:30:00,-130.7516866768766,
2023-03-10 20:00:00,-130.7516866768766,
2023-03-10 23:00:00,-130.7516866768766,
2023-03-10 23:59:59,-131.59681608218688,w
2023-03-13 00:00:00,-131.59681608218688,
2023-03-13 01:00:00,-131.59681608218688,
2023-03-13 02:30:00,-131.59681608218688,
2023-03-13 03:00:00,-131.59681608218688,
2023-03-13 18:30:00,-131.59681608218688,
2023-03-13 20:00:00,-131.59681608218688,
2023-03-13 23:00:00,-131.59681608218688,
2023-03-13 23:59:59,-131.59681608218688,c
2023-03-14 00:00:00,-131.59681608218688,
2023-03-14 01:00:00,-131.59681608218688,
2023-03-14 02:30:00,-131.59681608218688,
2023-03-14 03:00:00,-131.59681608218688,
2023-03-14 18:30:00,-131.59681608218688,
2023-03-14 20:00:00,-131.59681608218688,
2023-03-14 23:00:00,-131.59681608218688,
2023-03-14 23:59:59,-131.59681608218688,c
2023-03-15 00:00:00,-131.59681608218688,
2023-03-15 01:00:00,-131.59681608218688,
2023-03-15 02:30:00,-131.59681608218688,
2023-03-15 03:00:00,-131.59681608218688,
2023-03-15 18:30:00,-131.59681608218688,
2023-03-15 20:00:00,-131.59681608218688,
2023-03-15 23:00:00,-131.59681608218688,
2023-03-15 23:59:59,-131.59681608218688,c
2023-03-16 00:00:00,-131.59681608218688,
2023-03-16 01:00:00,-131.59681608218688,
2023-03-16 02:30:00,-131.59681608218688,
2023-03-16 03:00:00,-131.59681608218688,
2023-03-16 18:30:00,-131.59681608218688,
2023-03-16 20:00:00,-131.59681608218688,
2023-03-16 23:00:00,-131.59681608218688,
2023-03-16 23:59:59,-131.59681608218688,c
2023-03-17 00:00:00,-131.59681608218688,
2023-03-17 01:00:00,-131.59681608218688,
2023-03-17 02:30:00,-131.59681608218688,
2023-03-17 03:00:00,-131.59681608218688,
2023-03-17 18:30:00,-131.59681608218688,
2023-03-17 20:00:00,-131.59681608218688,
2023-03-17 23:00:00,-131.59681608218688,
2023-03-17 23:59:59,-131.59681608218688,e
2023-03-20 00:00:00,-131.59681608218688,
2023-03-20 01:00:00,-131.59681608218688,
2023-03-20 02:30:00,-131.59681608218688,
2023-03-20 03:00:00,-131.59681608218688,
2023-03-20 18:30:00,-131.59681608218688,
2023-03-20 20:00:00,-131.59681608218688,
2023-03-20 23:00:00,-131.59681608218688,
2023-03-20 23:59:59,-131.59681608218688,c
2023-03-21 00:00:00,-131.59681608218688,
2023-03-21 01:00:00,-131.59681608218688,
2023-03-21 02:30:00,-131.59681608218688,
2023-03-21 03:00:00,-131.59681608218688,
2023-03-21 18:30:00,-131.59681608218688,
2023-03-21 20:00:00,-131.59681608218688,
2023-03-21 23:00:00,-131.59681608218688,
2023-03-21 23:59:59,-131.59681608218688,c
2023-03-22 00:00:00,-131.59681608218688,
2023-03-22 01:00:00,-131.59681608218688,
2023-03-22 02:30:00,-131.59681608218688,
2023-03-22 03:00:00,-131.59681608218688,
2023-03-22 18:30:00,-131.59681608218688,
2023-03-22 20:00:00,-131.59681608218688,
2023-03-22 23:00:00,-131.59681608218688,
2023-03-22 23:59:59,-131.59681608218688,c
2023-03-23 00:00:00,-131.59681608218688,
2023-03-23 01:00:00,-131.59681608218688,
2023-03-23 02:30:00,-131.59681608218688,
2023-03-23 03:00:00,-131.59681608218688,
2023-03-23 18:30:00,-131.59681608218688,
2023-03-23 20:00:00,-131.59681608218688,
2023-03-23 23:00:00,-131.59681608218688,
2023-03-23 23:59:59,-131.59681608218688,c
2023-03-24 00:00:00,-131.59681608218688,
2023-03-24 01:00:00,-131.59681608218688,
2023-03-24 02:30:00,-131.59681608218688,
2023-03-24 03:00:00,-131.59681608218688,
2023-03-24 18:30:00,-131.59681608218688,
2023-03-24 20:00:00,-131.59681608218688,
2023-03-24 23:00:00,-131.59681608218688,
2023-03-24 23:59:59,-131.59681608218688,w
2023-03-27 00:00:00,-131.59681608218688,
2023-03-27 01:00:00,-131.59681608218688,
2023-03-27 02:30:00,-131.59681608218688,
2023-03-27 03:00:00,-131.59681608218688,
2023-03-27 18:30:00,-131.59681608218688,
2023-03-27 20:00:00,-131.59681608218688,
2023-03-27 23:00:00,-131.59681608218688,
2023-03-27 23:59:59,-131.59681608218688,c
2023-03-28 00:00:00,-131.59681608218688,
2023-03-28 01:00:00,-131.59681608218688,
2023-03-28 02:30:00,-131.59681608218688,
2023-03-28 03:00:00,-131.59681608218688,
2023-03-28 18:30:00,-131.59681608218688,
2023-03-28 20:00:00,-131.59681608218688,
2023-03-28 23:00:00,-131.59681608218688,
2023-03-28 23:59:59,-131.59681608218688,c
2023-03-29 00:00:00,-131.59681608218688,
2023-03-29 01:00:00,-131.59681608218688,
2023-03-29 02:30:00,-131.59681608218688,
2023-03-29 03:00:00,-131.59681608218688,
2023-03-29 18:30:00,-131.59681608218688,
2023-03-29 20:00:00,-131.59681608218688,
2023-03-29 23:00:00,-131.59681608218688,
2023-03-29 23:59:59,-131.59681608218688,c
2023-03-30 00:00:00,-131.59681608218688,
2023-03-30 01:00:00,-131.59681608218688,
2023-03-30 02:30:00,-131.59681608218688,
2023-03-30 03:00:00,-131.59681608218688,
2023-03-30 18:30:00,-131.59681608218688,
2023-03-30 20:00:00,-131.59681608218688,
2023-03-30 23:00:00,-131.59681608218688,
2023-03-30 23:59:59,-131.59681608218688,c
2023-03-31 00:00:00,-131.59681608218688,
2023-03-31 01:00:00,-131.59681608218688,
2023-03-31 02:30:00,-131.59681608218688,
2023-03-31 03:00:00,-131.59681608218688,
2023-03-31 18:30:00,-131.59681608218688,
2023-03-31 20:00:00,-131.59681608218688,
2023-03-31 23:00:00,-131.59681608218688,
2023-03-31 23:59:59,-131.59681608218688,w
2023-04-03 00:00:00,-131.59681608218688,
2023-04-03 01:00:00,-131.59681608218688,
2023-04-03 02:30:00,-131.59681608218688,
2023-04-03 03:00:00,-131.59681608218688,
2023-04-03 18:30:00,-131.59681608218688,
2023-04-03 20:00:00,-131.59681608218688,
2023-04-03 23:00:00,-131.59681608218688,
2023-04-03 23:59:59,-131.59681608218688,c
2023-04-04 00:00:00,-131.59681608218688,
2023-04-04 01:00:00,-131.59681608218688,
2023-04-04 02:30:00,-131.59681608218688,
2023-04-04 03:00:00,-131.59681608218688,
2023-04-04 18:30:00,-131.59681608218688,
2023-04-04 20:00:00,-131.59681608218688,
2023-04-04 23:00:00,-131.59681608218688,
2023-04-04 23:59:59,-131.59681608218688,c
2023-04-05 00:00:00,-131.59681608218688,
2023-04-05 01:00:00,-131.59681608218688,
2023-04-05 02:30:00,-131.59681608218688,
2023-04-05 03:00:00,-131.59681608218688,
2023-04-05 18:30:00,-131.59681608218688,
2023-04-05 20:00:00,-131.59681608218688,
2023-04-05 23:00:00,-131.59681608218688,
2023-04-05 23:59:59,-131.59681608218688,c
2023-04-06 00:00:00,-131.59681608218688,
2023-04-06 01:00:00,-131.59681608218688,
2023-04-06 02:30:00,-131.59681608218688,
2023-04-06 03:00:00,-131.59681608218688,
