date,AS_FTSE_AS_EM_AW_STAYS_2021_Q4,meta
2021-12-23 18:30:00,-82.05394900185411,
2021-12-23 20:00:00,-82.05394900185411,
2021-12-23 23:00:00,-109.95582703059335,
2021-12-23 23:59:59,-93.78080098976943,c
2021-12-24 00:00:00,-70.13009783485495,
2021-12-24 01:00:00,-70.13009783485495,
2021-12-24 02:30:00,-70.13009783485495,
2021-12-24 03:00:00,-70.13009783485495,
2021-12-24 18:30:00,-70.13009783485495,
2021-12-24 20:00:00,-70.13009783485495,
2021-12-24 23:00:00,-70.13009783485495,
2021-12-24 23:59:59,-82.81683340817926,w
2021-12-27 00:00:00,-104.54222128699212,
2021-12-27 01:00:00,-104.54222128699212,
2021-12-27 02:30:00,-104.54222128699212,
2021-12-27 03:00:00,-104.54222128699212,
2021-12-27 18:30:00,-104.54222128699212,
2021-12-27 20:00:00,-104.54222128699212,
2021-12-27 23:00:00,-110.06475239835163,
2021-12-27 23:59:59,-102.78439426970363,c
2021-12-28 00:00:00,-106.41424963106738,
2021-12-28 01:00:00,-97.06117575009557,
2021-12-28 02:30:00,-95.76166675233753,
2021-12-28 03:00:00,-100.97509820703772,
2021-12-28 18:30:00,-100.97509820703772,
2021-12-28 20:00:00,-100.97509820703772,
2021-12-28 23:00:00,-112.31844803365766,
2021-12-28 23:59:59,-113.37013142991691,c
2021-12-29 00:00:00,-133.06792739743832,
2021-12-29 01:00:00,-127.10146654000346,
2021-12-29 02:30:00,-125.86743032973982,
2021-12-29 03:00:00,-127.03609782195963,
2021-12-29 18:30:00,-127.03609782195963,
2021-12-29 20:00:00,-127.03609782195963,
2021-12-29 23:00:00,-71.66304240797672,
2021-12-29 23:59:59,-63.71568294786266,c
2021-12-30 00:00:00,-76.92932656084304,
2021-12-30 01:00:00,-55.40839180970988,
2021-12-30 02:30:00,-49.777626928892005,
2021-12-30 03:00:00,-52.878182026589,
2021-12-30 18:30:00,-52.878182026589,
2021-12-30 20:00:00,-52.878182026589,
2021-12-30 23:00:00,6.64339637387593,
2021-12-30 23:59:59,2.744004144097744,c
2021-12-31 00:00:00,23.123424751669063,
2021-12-31 01:00:00,23.123424751669063,
2021-12-31 02:30:00,23.123424751669063,
2021-12-31 03:00:00,23.123424751669063,
2021-12-31 18:30:00,23.123424751669063,
2021-12-31 20:00:00,23.123424751669063,
2021-12-31 23:00:00,23.123424751669063,
2021-12-31 23:59:59,23.115608624728793,w
2022-01-03 00:00:00,-48.34491202369463,
2022-01-03 01:00:00,-40.201333587080626,
2022-01-03 02:30:00,-55.07902854441181,
