date,EU_MSCI_DM_SC_2022_Q2,meta
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
0,157.35368319546592,
2022-05-18 00:00:00,164.4277866870614,
2022-05-18 03:30:00,178.81669815155698,
2022-05-18 04:00:00,159.24091594581517,
2022-05-18 06:00:00,146.60364977488106,
2022-05-18 08:00:00,141.31410060631438,
2022-05-18 10:30:00,134.7576919476045,
2022-05-18 11:00:00,140.03894321229734,
2022-05-18 23:59:59,141.2645425807124,c
2022-05-19 00:00:00,143.8774239409462,
2022-05-19 03:30:00,160.52957522159377,
2022-05-19 04:00:00,160.20801343815268,
2022-05-19 06:00:00,176.64694488649425,
2022-05-19 08:00:00,195.75950971237464,
2022-05-19 10:30:00,207.25826556929255,
2022-05-19 11:00:00,218.95641759066376,
2022-05-19 23:59:59,215.805946976661,c
2022-05-20 00:00:00,251.53502074318516,
2022-05-20 03:30:00,262.6858457670541,
2022-05-20 04:00:00,257.991534389696,
2022-05-20 06:00:00,251.17907003224076,
2022-05-20 08:00:00,247.9503181325777,
2022-05-20 10:30:00,269.82232901992904,
2022-05-20 11:00:00,267.06615662238136,
2022-05-20 23:59:59,268.22505073187955,w
2022-05-23 00:00:00,282.2237420866611,
2022-05-23 03:30:00,304.17164575734154,
2022-05-23 04:00:00,290.594285370121,
2022-05-23 06:00:00,281.37458159291225,
2022-05-23 08:00:00,270.607828298195,
2022-05-23 10:30:00,250.56487511996443,
2022-05-23 11:00:00,253.97157754473176,
2022-05-23 23:59:59,259.6696320204679,c
2022-05-24 00:00:00,282.14005733209115,
2022-05-24 03:30:00,279.65143584261403,
2022-05-24 04:00:00,288.90083770676813,
2022-05-24 06:00:00,266.8796075137042,
2022-05-24 08:00:00,258.6959292626009,
2022-05-24 10:30:00,235.3469949756045,
2022-05-24 11:00:00,237.7160864296565,
2022-05-24 23:59:59,238.39594469062172,c
2022-05-25 00:00:00,236.46684660867487,
2022-05-25 03:30:00,210.17805664175927,
2022-05-25 04:00:00,210.9757784144801,
2022-05-25 06:00:00,199.43051319924618,
2022-05-25 08:00:00,205.44051689317544,
2022-05-25 10:30:00,206.40353983940693,
2022-05-25 11:00:00,195.27053067365983,
2022-05-25 23:59:59,206.06449104298412,c
2022-05-26 00:00:00,216.27967150506765,
2022-05-26 03:30:00,196.77227019927682,
2022-05-26 04:00:00,200.47140028021462,
2022-05-26 06:00:00,211.21490467521204,
2022-05-26 08:00:00,207.75504260865162,
2022-05-26 10:30:00,188.505341336212,
2022-05-26 11:00:00,195.73016558617158,
2022-05-26 23:59:59,204.1485703739825,c
2022-05-27 00:00:00,190.73363623550273,
2022-05-27 03:30:00,191.25640005937723,
2022-05-27 04:00:00,197.5111556966554,
2022-05-27 06:00:00,180.62470793328256,
2022-05-27 08:00:00,179.8907078273442,
2022-05-27 10:30:00,174.92338258386945,
2022-05-27 11:00:00,172.63284555930426,
2022-05-27 23:59:59,156.93034714882177,w
2022-05-30 00:00:00,155.60071348466604,
2022-05-30 03:30:00,185.49864650552882,
2022-05-30 04:00:00,186.3094490784836,
2022-05-30 06:00:00,173.3738811741088,
2022-05-30 08:00:00,168.79770578877643,
2022-05-30 10:30:00,174.094447066796,
2022-05-30 11:00:00,173.70953156736795,
2022-05-30 23:59:59,176.9255625090615,c
2022-05-31 00:00:00,185.1556172085641,
2022-05-31 03:30:00,157.83561212202574,
2022-05-31 04:00:00,132.03155001907797,
2022-05-31 06:00:00,116.88733781842328,
2022-05-31 08:00:00,114.34094929373839,
2022-05-31 10:30:00,141.4824763306681,
2022-05-31 11:00:00,143.1510906981993,
2022-05-31 23:59:59,155.66908150953137,e
2022-06-01 00:00:00,152.55714060671988,
2022-06-01 03:30:00,131.18680374477566,
2022-06-01 04:00:00,108.94373974015824,
2022-06-01 06:00:00,105.16846100991512,
2022-06-01 08:00:00,122.98573863549751,
2022-06-01 10:30:00,114.89930557023857,
2022-06-01 11:00:00,122.63862866351349,
2022-06-01 23:59:59,118.84978781628709,c
2022-06-02 00:00:00,122.66610666525145,
2022-06-02 03:30:00,117.42309467785833,
2022-06-02 04:00:00,120.46835553976499,
2022-06-02 06:00:00,120.53043745225298,
2022-06-02 08:00:00,121.08245069649882,
2022-06-02 10:30:00,117.30601961741542,
2022-06-02 11:00:00,126.33447951204778,
2022-06-02 23:59:59,133.82579040625944,c
2022-06-03 00:00:00,117.8394617579761,
2022-06-03 03:30:00,124.13520231215685,
2022-06-03 04:00:00,122.17730153216502,
2022-06-03 06:00:00,124.07784873024522,
2022-06-03 08:00:00,126.77761251535372,
2022-06-03 10:30:00,118.11558970938208,
2022-06-03 11:00:00,119.93034914001171,
2022-06-03 23:59:59,113.50048485991564,w
2022-06-06 00:00:00,104.5078343618328,
2022-06-06 03:30:00,118.72430198517026,
2022-06-06 04:00:00,123.38469812459758,
2022-06-06 06:00:00,112.71968657127016,
2022-06-06 08:00:00,112.32344507230692,
2022-06-06 10:30:00,94.40713179629722,
