date,CRSP_AD_HEDGED_2021_Q4,meta
2021-12-20 00:00:00,-13.282329158672027,
2021-12-20 10:00:00,27.10090616924927,
2021-12-20 10:30:00,27.777215005843942,
2021-12-20 12:00:00,27.08081442931679,
2021-12-20 13:30:00,17.564504751938998,
2021-12-20 15:00:00,11.525332229191719,
2021-12-20 15:30:30,11.525332229191719,
2021-12-20 23:59:59,-20.659627209864624,c
2021-12-21 00:00:00,5.8069463389799125,
2021-12-21 10:00:00,2.3932541783682098,
2021-12-21 10:30:00,2.201800736727691,
2021-12-21 12:00:00,21.9800757202742,
2021-12-21 13:30:00,12.788837157889176,
2021-12-21 15:00:00,18.00003437130168,
2021-12-21 15:30:30,18.00003437130168,
2021-12-21 23:59:59,-4.52523646576924,c
2021-12-22 00:00:00,12.962064196221903,
2021-12-22 10:00:00,-5.458695157974077,
2021-12-22 10:30:00,-6.1221790724532354,
2021-12-22 12:00:00,2.82313841060423,
2021-12-22 13:30:00,-6.301777447467984,
2021-12-22 15:00:00,-11.119537789940239,
2021-12-22 15:30:30,-11.119537789940239,
2021-12-22 23:59:59,-9.226931200107728,c
2021-12-23 00:00:00,-12.987147903044615,
2021-12-23 10:00:00,-0.7990005695902482,
2021-12-23 10:30:00,-3.9280793033301222,
2021-12-23 12:00:00,-13.606581376898419,
2021-12-23 13:30:00,1.8885329042513774,
2021-12-23 15:00:00,-5.386063033910688,
2021-12-23 15:30:30,-5.386063033910688,
2021-12-23 23:59:59,7.784122553503167,c
2021-12-24 00:00:00,7.784122553503167,
2021-12-24 10:00:00,7.784122553503167,
2021-12-24 10:30:00,7.784122553503167,
2021-12-24 12:00:00,7.784122553503167,
2021-12-24 13:30:00,7.784122553503167,
2021-12-24 15:00:00,7.784122553503167,
2021-12-24 15:30:30,7.784122553503167,
2021-12-24 23:59:59,7.784122553503167,w
2021-12-27 00:00:00,35.23381291603512,
2021-12-27 10:00:00,21.000395654701947,
2021-12-27 10:30:00,29.798427585503234,
2021-12-27 12:00:00,33.26941843854969,
2021-12-27 13:30:00,38.94421055891665,
2021-12-27 15:00:00,36.85987103053721,
2021-12-27 15:30:30,36.85987103053721,
2021-12-27 23:59:59,39.05297413253017,c
2021-12-28 00:00:00,32.5751496443837,
2021-12-28 10:00:00,52.33887842108295,
2021-12-28 10:30:00,42.17670729165856,
2021-12-28 12:00:00,36.39338000804834,
2021-12-28 13:30:00,40.18924316116018,
2021-12-28 15:00:00,40.25797011651791,
2021-12-28 15:30:30,40.25797011651791,
2021-12-28 23:59:59,51.43142032716712,c
2021-12-29 00:00:00,67.49542832221017,
2021-12-29 10:00:00,62.40625592613988,
2021-12-29 10:30:00,63.049512608619025,
2021-12-29 12:00:00,53.24569934015345,
2021-12-29 13:30:00,54.653221255221595,
2021-12-29 15:00:00,46.67195458800664,
2021-12-29 15:30:30,46.67195458800664,
2021-12-29 23:59:59,45.03907033000901,c
2021-12-30 00:00:00,60.306158759569755,
2021-12-30 10:00:00,65.6302795728622,
2021-12-30 10:30:00,40.11878149823032,
2021-12-30 12:00:00,52.73694171856651,
2021-12-30 13:30:00,59.32523943444643,
2021-12-30 15:00:00,60.16688567010068,
2021-12-30 15:30:30,60.16688567010068,
2021-12-30 23:59:59,66.76804871436569,c
2021-12-31 00:00:00,64.81783302588569,
2021-12-31 10:00:00,81.48286130950889,
2021-12-31 10:30:00,77.13260762908907,
2021-12-31 12:00:00,65.39350543956591,
2021-12-31 13:30:00,64.63599054249856,
2021-12-31 15:00:00,65.44414227389991,
2021-12-31 15:30:30,65.44414227389991,
2021-12-31 23:59:59,63.0412833542499,w
2022-01-03 00:00:00,80.46953372084975,
2022-01-03 10:00:00,72.67647118128643,
2022-01-03 10:30:00,87.79504892529,
2022-01-03 12:00:00,97.87723014220389,
2022-01-03 13:30:00,98.32280806065431,
