date,EU_FTSE_DM_MIG_2022_Q3,meta
2022-09-22 23:59:59,761.7676199890866,c
2022-09-23 00:00:00,755.2799320685474,
2022-09-23 03:30:00,740.5846518290691,
2022-09-23 04:00:00,720.6294744795343,
2022-09-23 06:00:00,677.5356847528458,
2022-09-23 08:00:00,674.3488585482701,
2022-09-23 10:30:00,579.8912831477974,
2022-09-23 11:00:00,577.9317704170362,
2022-09-23 23:59:59,636.0211651822533,w
2022-09-26 00:00:00,614.2570790957766,
2022-09-26 03:30:00,601.7641424517876,
2022-09-26 04:00:00,592.9423174353849,
2022-09-26 06:00:00,564.7714512401458,
2022-09-26 08:00:00,550.3829651838746,
2022-09-26 10:30:00,579.9373378260973,
2022-09-26 11:00:00,587.5558633219655,
2022-09-26 23:59:59,572.8784193859788,c
2022-09-27 00:00:00,552.2173299835961,
2022-09-27 03:30:00,527.7228262624828,
2022-09-27 04:00:00,553.6166603177776,
2022-09-27 06:00:00,552.613344512605,
2022-09-27 08:00:00,557.4253174190112,
2022-09-27 10:30:00,537.8339331802729,
2022-09-27 11:00:00,523.1279355404647,
2022-09-27 23:59:59,525.7794541164742,c
2022-09-28 00:00:00,560.9077418200436,
2022-09-28 03:30:00,491.71113402488027,
2022-09-28 04:00:00,495.97598033289,
2022-09-28 06:00:00,488.97125191836653,
2022-09-28 08:00:00,509.72366711142354,
2022-09-28 10:30:00,521.0172315673251,
2022-09-28 11:00:00,512.865954989358,
2022-09-28 23:59:59,476.11273904165955,c
2022-09-29 00:00:00,492.8108513108484,
2022-09-29 03:30:00,511.9531169936911,
2022-09-29 04:00:00,528.8843250105663,
2022-09-29 06:00:00,599.4495962213864,
2022-09-29 08:00:00,622.6276836562627,
2022-09-29 10:30:00,548.1018782081678,
2022-09-29 11:00:00,545.7885492222799,
2022-09-29 23:59:59,516.685169521156,c
2022-09-30 00:00:00,515.7235864105141,
2022-09-30 03:30:00,572.4550647052126,
2022-09-30 04:00:00,599.3794133183903,
2022-09-30 06:00:00,598.4047808015114,
2022-09-30 08:00:00,575.2056385049889,
2022-09-30 10:30:00,567.1628440969919,
2022-09-30 11:00:00,569.3981233524332,
2022-09-30 23:59:59,599.2862018354867,w
2022-10-03 00:00:00,599.819572413094,
2022-10-03 03:30:00,611.6283959234545,
2022-10-03 04:00:00,622.1704808247164,
2022-10-03 06:00:00,622.6107535258518,
2022-10-03 08:00:00,633.7106783286426,
2022-10-03 10:30:00,624.5511025277631,
2022-10-03 11:00:00,618.6872630048879,
2022-10-03 23:59:59,616.2414552745165,c
2022-10-04 00:00:00,632.0652148040274,
2022-10-04 03:30:00,643.3315372420582,
2022-10-04 04:00:00,648.1638495627903,
2022-10-04 06:00:00,630.5340322610045,
2022-10-04 08:00:00,651.4588197630453,
2022-10-04 10:30:00,657.2528620752339,
2022-10-04 11:00:00,634.8872405966397,
2022-10-04 23:59:59,625.0928363174569,c
2022-10-05 00:00:00,651.281668728436,
2022-10-05 03:30:00,601.1104037862228,
2022-10-05 04:00:00,595.9685453870027,
2022-10-05 06:00:00,598.490299313745,
2022-10-05 08:00:00,618.4011692113734,
2022-10-05 10:30:00,628.7218431661274,
2022-10-05 11:00:00,634.3702631282908,
2022-10-05 23:59:59,666.3806047606861,c
2022-10-06 00:00:00,674.0046561669849,
2022-10-06 03:30:00,656.5368313070351,
2022-10-06 04:00:00,640.1006695462108,
2022-10-06 06:00:00,635.903451878243,
2022-10-06 08:00:00,633.9322568336281,
2022-10-06 10:30:00,645.4740986949332,
2022-10-06 11:00:00,637.5811456854865,
2022-10-06 23:59:59,645.119551028316,c
2022-10-07 00:00:00,657.4914907209543,
2022-10-07 03:30:00,730.9291156436177,
2022-10-07 04:00:00,761.2747280641174,
2022-10-07 06:00:00,743.703596967993,
2022-10-07 08:00:00,753.8656099504271,
2022-10-07 10:30:00,778.9272932637182,
2022-10-07 11:00:00,796.9970552190159,
2022-10-07 23:59:59,786.9697419243207,w
