date,CRSP_MIG_HEDGED_2020_Q4,meta
2020-12-28 15:30:30,257.5180352461979,
2020-12-28 23:59:59,263.2588824811073,c
2020-12-29 00:00:00,227.858427145541,
2020-12-29 10:00:00,182.867448820062,
2020-12-29 10:30:00,208.74514192937932,
2020-12-29 12:00:00,229.35541233565164,
2020-12-29 13:30:00,237.1550724542542,
2020-12-29 15:00:00,229.06651785332997,
2020-12-29 15:30:30,229.06651785332997,
2020-12-29 23:59:59,225.90152864221704,c
2020-12-30 00:00:00,216.05120751922425,
2020-12-30 10:00:00,243.1414078549924,
2020-12-30 10:30:00,258.5778691837214,
2020-12-30 12:00:00,286.5203539448157,
2020-12-30 13:30:00,294.4171954515285,
2020-12-30 15:00:00,307.4763915697114,
2020-12-30 15:30:30,307.4763915697114,
2020-12-30 23:59:59,326.55005806691804,c
2020-12-31 00:00:00,328.3715462059937,
2020-12-31 10:00:00,317.3557015474921,
2020-12-31 10:30:00,322.35780368548967,
2020-12-31 12:00:00,328.41279234967385,
2020-12-31 13:30:00,338.0525981846596,
2020-12-31 15:00:00,358.14335483310913,
2020-12-31 15:30:30,358.14335483310913,
2020-12-31 23:59:59,365.92967990583645,c
2021-01-01 00:00:00,365.92967990583645,
2021-01-01 10:00:00,365.92967990583645,
2021-01-01 10:30:00,365.92967990583645,
2021-01-01 12:00:00,365.92967990583645,
2021-01-01 13:30:00,365.92967990583645,
2021-01-01 15:00:00,365.92967990583645,
2021-01-01 15:30:30,365.92967990583645,
2021-01-01 23:59:59,365.92967990583645,w
2021-01-04 00:00:00,357.03565974498304,
2021-01-04 10:00:00,331.24581336331823,
2021-01-04 10:30:00,309.90023556551455,
2021-01-04 12:00:00,306.65932413128667,
2021-01-04 13:30:00,305.0163946017867,
2021-01-04 15:00:00,292.9323090545322,
2021-01-04 15:30:30,292.9323090545322,
2021-01-04 23:59:59,291.81705548101,c
2021-01-05 00:00:00,264.88315769517396,
2021-01-05 10:00:00,295.53718673238893,
2021-01-05 10:30:00,284.55534922469906,
2021-01-05 12:00:00,270.32692930545477,
2021-01-05 13:30:00,275.614811534727,
2021-01-05 15:00:00,266.67090285278346,
2021-01-05 15:30:30,266.67090285278346,
2021-01-05 23:59:59,263.9634470456498,c
2021-01-06 00:00:00,260.19736794066296,
2021-01-06 10:00:00,244.1532150796511,
2021-01-06 10:30:00,230.71117650060182,
2021-01-06 12:00:00,231.66981674514773,
2021-01-06 13:30:00,237.3703174479822,
2021-01-06 15:00:00,246.5316853265699,
2021-01-06 15:30:30,246.5316853265699,
2021-01-06 23:59:59,247.18286735421316,c
2021-01-07 00:00:00,207.42080497403072,
2021-01-07 10:00:00,202.73751890995914,
2021-01-07 10:30:00,194.7805308950998,
2021-01-07 12:00:00,211.66648248986178,
2021-01-07 13:30:00,220.84681856640202,
2021-01-07 15:00:00,239.94145604183643,
2021-01-07 15:30:30,239.94145604183643,
2021-01-07 23:59:59,236.88137834655322,c
2021-01-08 00:00:00,220.87797040864882,
2021-01-08 10:00:00,210.2194480269486,
2021-01-08 10:30:00,242.4144574055863,
2021-01-08 12:00:00,247.148083053214,
2021-01-08 13:30:00,244.60105399204463,
2021-01-08 15:00:00,246.794679635723,
2021-01-08 15:30:30,246.794679635723,
2021-01-08 23:59:59,257.66245305777113,w
2021-01-11 00:00:00,261.63387758021463,
2021-01-11 10:00:00,210.7553420678271,
2021-01-11 10:30:00,194.5997753837654,
2021-01-11 12:00:00,198.71462973664586,
2021-01-11 13:30:00,198.67972562449643,
2021-01-11 15:00:00,182.2258657721395,
2021-01-11 15:30:30,182.2258657721395,
2021-01-11 23:59:59,180.84176518465244,c
2021-01-12 00:00:00,181.3597831487914,
2021-01-12 10:00:00,203.2249657143949,
2021-01-12 10:30:00,169.15898771885406,
2021-01-12 12:00:00,162.85310781879866,
2021-01-12 13:30:00,157.32826903706552,
2021-01-12 15:00:00,148.83619466485356,
2021-01-12 15:30:30,148.83619466485356,
2021-01-12 23:59:59,140.85824656115688,c
2021-01-13 00:00:00,147.74763977903808,
2021-01-13 10:00:00,193.78679260306114,
2021-01-13 10:30:00,197.83617121348868,
2021-01-13 12:00:00,241.08391039365586,
2021-01-13 13:30:00,245.00420570802873,
2021-01-13 15:00:00,261.41812395164686,
2021-01-13 15:30:30,261.41812395164686,
2021-01-13 23:59:59,288.5884375416276,c
2021-01-14 00:00:00,282.8166983695619,
2021-01-14 10:00:00,252.51915060592592,
2021-01-14 10:30:00,255.03553204597108,
2021-01-14 12:00:00,279.9312409088991,
2021-01-14 13:30:00,288.3886096859509,
2021-01-14 15:00:00,273.8305283936171,
2021-01-14 15:30:30,273.8305283936171,
2021-01-14 23:59:59,257.3732084558877,c
2021-01-15 00:00:00,240.57807059796107,
2021-01-15 10:00:00,206.27669203736718,
2021-01-15 10:30:00,226.41124902726608,
2021-01-15 12:00:00,202.43172527344177,
2021-01-15 13:30:00,205.65858071859782,
2021-01-15 15:00:00,196.8717725031015,
2021-01-15 15:30:30,196.8717725031015,
2021-01-15 23:59:59,179.78502614011404,w
