date,AS_MSCI_EM_HK_STAY_2022_Q3,meta
2022-08-22 18:30:00,-90.42545415153694,
2022-08-22 20:00:00,-90.42545415153694,
2022-08-22 23:00:00,-51.84687735586661,
2022-08-22 23:59:59,-63.78200116750359,c
2022-08-23 00:00:00,-60.015295571736004,
2022-08-23 01:00:00,-60.015295571736004,
2022-08-23 02:30:00,-79.71585158210208,
2022-08-23 03:00:00,-84.05724605569495,
2022-08-23 18:30:00,-84.05724605569495,
2022-08-23 20:00:00,-84.05724605569495,
2022-08-23 23:00:00,-139.983052536203,
2022-08-23 23:59:59,-131.09144497926434,c
2022-08-24 00:00:00,-96.40289889913436,
2022-08-24 01:00:00,-96.40289889913436,
2022-08-24 02:30:00,-100.55969678043522,
2022-08-24 03:00:00,-101.14001043479848,
2022-08-24 18:30:00,-101.14001043479848,
2022-08-24 20:00:00,-101.14001043479848,
2022-08-24 23:00:00,-101.14001043479848,
2022-08-24 23:59:59,-129.6975466893891,c
2022-08-25 00:00:00,-106.53869226421038,
2022-08-25 01:00:00,-106.53869226421038,
2022-08-25 02:30:00,14.82222777323993,
2022-08-25 03:00:00,84.49548904043823,
2022-08-25 18:30:00,84.49548904043823,
2022-08-25 20:00:00,84.49548904043823,
2022-08-25 23:00:00,99.32721122856,
2022-08-25 23:59:59,93.53866725457178,c
2022-08-26 00:00:00,115.06538415600977,
2022-08-26 01:00:00,115.06538415600977,
2022-08-26 02:30:00,76.77168355779429,
2022-08-26 03:00:00,77.49835520681782,
2022-08-26 18:30:00,77.49835520681782,
2022-08-26 20:00:00,77.49835520681782,
2022-08-26 23:00:00,77.49835520681782,
2022-08-26 23:59:59,130.94007203982855,w
2022-08-29 00:00:00,206.1414989923606,
2022-08-29 01:00:00,206.1414989923606,
2022-08-29 02:30:00,174.41941042874691,
2022-08-29 03:00:00,159.65404057513305,
2022-08-29 18:30:00,159.65404057513305,
2022-08-29 20:00:00,159.65404057513305,
2022-08-29 23:00:00,75.69832684656504,
2022-08-29 23:59:59,82.84197352662773,c
2022-08-30 00:00:00,104.16160259424382,
2022-08-30 01:00:00,104.16160259424382,
2022-08-30 02:30:00,135.19912336167627,
2022-08-30 03:00:00,117.90320804585576,
2022-08-30 18:30:00,117.90320804585576,
2022-08-30 20:00:00,117.90320804585576,
2022-08-30 23:00:00,198.14917027335702,
2022-08-30 23:59:59,261.4891092872615,c
2022-08-31 00:00:00,254.23598034588161,
2022-08-31 01:00:00,254.23598034588161,
2022-08-31 02:30:00,215.85032856812836,
2022-08-31 03:00:00,214.63858002194144,
2022-08-31 18:30:00,214.63858002194144,
2022-08-31 20:00:00,214.63858002194144,
2022-08-31 23:00:00,178.10716724999602,
2022-08-31 23:59:59,163.8453115621672,e
2022-09-01 00:00:00,142.65952660398384,
2022-09-01 01:00:00,142.65952660398384,
2022-09-01 02:30:00,112.30046705696506,
2022-09-01 03:00:00,112.02518332666071,
2022-09-01 18:30:00,112.02518332666071,
2022-09-01 20:00:00,112.02518332666071,
2022-09-01 23:00:00,84.88317430303047,
2022-09-01 23:59:59,104.61604520818113,c
2022-09-02 00:00:00,125.05043931193725,
2022-09-02 01:00:00,125.05043931193725,
2022-09-02 02:30:00,79.72408429133216,
2022-09-02 03:00:00,104.16119204184147,
2022-09-02 18:30:00,104.16119204184147,
2022-09-02 20:00:00,104.16119204184147,
2022-09-02 23:00:00,104.16119204184147,
2022-09-02 23:59:59,87.77095982755071,w
2022-09-05 00:00:00,40.04486219217807,
2022-09-05 01:00:00,40.04486219217807,
2022-09-05 02:30:00,24.13411647644361,
2022-09-05 03:00:00,50.321314931999694,
2022-09-05 18:30:00,50.321314931999694,
2022-09-05 20:00:00,50.321314931999694,
2022-09-05 23:00:00,49.69632335440696,
2022-09-05 23:59:59,11.5413727288134,c
2022-09-06 00:00:00,25.5589333823349,
2022-09-06 01:00:00,25.5589333823349,
2022-09-06 02:30:00,35.39459815763371,
2022-09-06 03:00:00,42.17439427084314,
2022-09-06 18:30:00,42.17439427084314,
2022-09-06 20:00:00,42.17439427084314,
2022-09-06 23:00:00,13.613055333939158,
2022-09-06 23:59:59,9.436570431226897,c
2022-09-07 00:00:00,-14.828728446205773,
2022-09-07 01:00:00,-14.828728446205773,
2022-09-07 02:30:00,-7.637567658800251,
2022-09-07 03:00:00,64.14076076329388,
2022-09-07 18:30:00,64.14076076329388,
2022-09-07 20:00:00,64.14076076329388,
2022-09-07 23:00:00,66.4919947129946,
2022-09-07 23:59:59,105.73264452569131,c
2022-09-08 00:00:00,111.23965220278464,
2022-09-08 01:00:00,111.23965220278464,
2022-09-08 02:30:00,81.62530989897189,
