date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-12-13 04:00:00,-250.39079995271368,
2021-12-13 06:00:00,-262.0926378912063,
2021-12-13 08:00:00,-267.27209758775643,
2021-12-13 10:30:00,-327.2370860713763,
2021-12-13 11:00:00,-330.5725592681538,
2021-12-13 23:59:59,-342.5327109557802,c
2021-12-14 00:00:00,-351.168243005538,
2021-12-14 03:30:00,-323.3606029946068,
2021-12-14 04:00:00,-338.47134133964573,
2021-12-14 06:00:00,-381.1246460955226,
2021-12-14 08:00:00,-373.7097924852824,
2021-12-14 10:30:00,-406.2859044214847,
2021-12-14 11:00:00,-451.71686094956476,
2021-12-14 23:59:59,-456.12012044023777,c
2021-12-15 00:00:00,-471.7509616903717,
2021-12-15 03:30:00,-442.8145296063385,
2021-12-15 04:00:00,-431.3625077522511,
2021-12-15 06:00:00,-441.8702139278357,
2021-12-15 08:00:00,-440.49251241790716,
2021-12-15 10:30:00,-467.0827527742449,
2021-12-15 11:00:00,-444.7560847531404,
2021-12-15 23:59:59,-427.73960510430516,c
2021-12-16 00:00:00,-314.6163669984571,
2021-12-16 03:30:00,-309.0142802121891,
2021-12-16 04:00:00,-318.16374646627173,
2021-12-16 06:00:00,-316.1057239826305,
2021-12-16 08:00:00,-269.2837102949179,
2021-12-16 10:30:00,-306.8612541985067,
2021-12-16 11:00:00,-329.3885206425475,
2021-12-16 23:59:59,-353.1353906803997,c
2021-12-17 00:00:00,-375.82681348817823,
2021-12-17 03:30:00,-394.2019805611326,
2021-12-17 04:00:00,-416.3634346693598,
2021-12-17 06:00:00,-443.732719908282,
2021-12-17 08:00:00,-461.2352393960309,
2021-12-17 10:30:00,-453.5016906136543,
2021-12-17 11:00:00,-399.8799388252319,
2021-12-17 23:59:59,-366.5624418131101,w
2021-12-20 00:00:00,-499.13302307307004,
2021-12-20 03:30:00,-477.9386991034944,
2021-12-20 04:00:00,-469.4394762203883,
2021-12-20 06:00:00,-451.299232598285,
2021-12-20 08:00:00,-487.0531105746495,
2021-12-20 10:30:00,-449.42970779042207,
2021-12-20 11:00:00,-461.0070793468185,
2021-12-20 23:59:59,-465.9921389284591,c
2021-12-21 00:00:00,-411.7032854769477,
2021-12-21 03:30:00,-412.46611040444077,
2021-12-21 04:00:00,-412.28297021038634,
2021-12-21 06:00:00,-398.4201300893401,
2021-12-21 08:00:00,-383.70546827614817,
2021-12-21 10:30:00,-410.2863408102303,
2021-12-21 11:00:00,-404.9531568106495,
2021-12-21 23:59:59,-392.25967606139966,c
2021-12-22 00:00:00,-377.9762680091553,
2021-12-22 03:30:00,-357.1688317063454,
2021-12-22 04:00:00,-349.2476537643788,
2021-12-22 06:00:00,-331.84752747720086,
2021-12-22 08:00:00,-304.511818886127,
2021-12-22 10:30:00,-286.52690149634145,
2021-12-22 11:00:00,-276.6366742030559,
2021-12-22 23:59:59,-288.4403259244518,c
2021-12-23 00:00:00,-278.0635873179317,
2021-12-23 03:30:00,-289.71018081713646,
2021-12-23 04:00:00,-281.0708661429744,
2021-12-23 06:00:00,-260.00628382750347,
2021-12-23 08:00:00,-267.81885134821823,
2021-12-23 10:30:00,-250.41803302436438,
2021-12-23 11:00:00,-250.20894643803877,
2021-12-23 23:59:59,-243.9942726601912,c
