date,EU_MSCI_EM_AD_2021_Q4,meta
2021-12-06 23:59:59,-470.9347938306764,c
2021-12-07 00:00:00,-470.9347938306764,
2021-12-07 03:30:00,-542.4271204807574,
2021-12-07 04:00:00,-539.8606082690221,
2021-12-07 06:00:00,-529.9337072746475,
2021-12-07 08:00:00,-541.436594936762,
2021-12-07 10:30:00,-541.436594936762,
2021-12-07 11:00:00,-541.436594936762,
2021-12-07 23:59:59,-513.5972433148054,c
2021-12-08 00:00:00,-500.95651754173014,
2021-12-08 03:30:00,-479.52028843929656,
2021-12-08 04:00:00,-453.99451576646425,
2021-12-08 06:00:00,-465.3479726507139,
2021-12-08 08:00:00,-485.11094831288756,
2021-12-08 10:30:00,-485.11094831288756,
2021-12-08 11:00:00,-485.11094831288756,
2021-12-08 23:59:59,-491.47597321192734,c
2021-12-09 00:00:00,-567.3203278503806,
2021-12-09 03:30:00,-536.1559893674093,
2021-12-09 04:00:00,-522.9819773546278,
2021-12-09 06:00:00,-538.5745908591216,
2021-12-09 08:00:00,-569.6688325278774,
2021-12-09 10:30:00,-569.6688325278774,
2021-12-09 11:00:00,-569.6688325278774,
2021-12-09 23:59:59,-526.2379690878915,c
2021-12-10 00:00:00,-512.0158788887347,
2021-12-10 03:30:00,-653.2190631814246,
2021-12-10 04:00:00,-668.6523962596711,
2021-12-10 06:00:00,-691.523256434537,
2021-12-10 08:00:00,-672.3340059545608,
2021-12-10 10:30:00,-672.3340059545608,
2021-12-10 11:00:00,-672.3340059545608,
2021-12-10 23:59:59,-662.1245513184167,w
2021-12-13 00:00:00,-660.5431263429655,
2021-12-13 03:30:00,-583.9985727869589,
2021-12-13 04:00:00,-583.0150083888748,
2021-12-13 06:00:00,-567.094712767801,
2021-12-13 08:00:00,-576.7500245767569,
2021-12-13 10:30:00,-576.7500245767569,
2021-12-13 11:00:00,-576.7500245767569,
2021-12-13 23:59:59,-608.4000933632451,c
2021-12-14 00:00:00,-576.7970980822065,
2021-12-14 03:30:00,-617.021235890059,
2021-12-14 04:00:00,-633.7898745102175,
2021-12-14 06:00:00,-639.0935911061006,
2021-12-14 08:00:00,-640.0528901847119,
2021-12-14 10:30:00,-640.0528901847119,
2021-12-14 11:00:00,-640.0528901847119,
2021-12-14 23:59:59,-611.5591316135688,c
2021-12-15 00:00:00,-608.3985728586194,
2021-12-15 03:30:00,-652.5523664183002,
2021-12-15 04:00:00,-655.9745644434879,
2021-12-15 06:00:00,-619.5264032169052,
2021-12-15 08:00:00,-602.7334540077209,
2021-12-15 10:30:00,-602.7334540077209,
2021-12-15 11:00:00,-602.7334540077209,
2021-12-15 23:59:59,-632.0999619240138,c
2021-12-16 00:00:00,-632.0999619240138,
2021-12-16 03:30:00,-632.0999619240138,
2021-12-16 04:00:00,-632.0999619240138,
2021-12-16 06:00:00,-632.0999619240138,
2021-12-16 08:00:00,-632.0999619240138,
2021-12-16 10:30:00,-632.0999619240138,
2021-12-16 11:00:00,-632.0999619240138,
