date,PAR1_STAY_20210511,meta
2021-06-22 13:30:00,-14.436596057772405,
2021-06-22 15:00:00,-14.588614910797304,
2021-06-22 15:30:30,-14.588614910797304,
2021-06-22 23:59:59,-15.817562316981466,c
2021-06-23 00:00:00,-14.146834773885132,
2021-06-23 10:00:00,-10.90773178711568,
2021-06-23 10:30:00,-7.077625024123364,
2021-06-23 12:00:00,-8.808418098587808,
2021-06-23 13:30:00,-8.943142920871736,
2021-06-23 15:00:00,-9.158690434245727,
2021-06-23 15:30:30,-9.158690434245727,
2021-06-23 23:59:59,-8.072861952778297,c
2021-06-24 00:00:00,-9.053979957832027,
2021-06-24 10:00:00,-13.149595166004701,
2021-06-24 10:30:00,-11.437236957127496,
2021-06-24 12:00:00,-10.001698355666576,
2021-06-24 13:30:00,-12.922180999559842,
2021-06-24 15:00:00,-13.260822266146675,
2021-06-24 15:30:30,-13.260822266146675,
2021-06-24 23:59:59,-15.897349193154156,c
2021-06-25 00:00:00,-11.312019381372252,
2021-06-25 10:00:00,-11.069735172961174,
2021-06-25 10:30:00,-12.41367518732848,
2021-06-25 12:00:00,-9.965458527331194,
2021-06-25 13:30:00,-9.38026578330944,
2021-06-25 15:00:00,-8.446871602740217,
2021-06-25 15:30:30,-8.446871602740217,
2021-06-25 23:59:59,-10.872494021097467,e
2021-06-28 00:00:00,-18.07181982283157,
2021-06-28 10:00:00,-27.41235912294472,
2021-06-28 10:30:00,-23.85683264213833,
2021-06-28 12:00:00,-24.192420330158654,
2021-06-28 13:30:00,-21.938703313315244,
2021-06-28 15:00:00,-22.630325504503475,
2021-06-28 15:30:30,-22.630325504503475,
2021-06-28 23:59:59,-21.71475640764541,c
2021-06-29 00:00:00,-17.731463797690722,
2021-06-29 10:00:00,-22.560322582974848,
2021-06-29 10:30:00,-25.926635181756453,
2021-06-29 12:00:00,-24.074433595441448,
2021-06-29 13:30:00,-26.792132402116295,
2021-06-29 15:00:00,-28.599210820076635,
2021-06-29 15:30:30,-28.599210820076635,
2021-06-29 23:59:59,-25.45070296344167,c
2021-06-30 00:00:00,-25.262318219577523,
2021-06-30 10:00:00,-24.087385548974595,
2021-06-30 10:30:00,-22.356478536772244,
2021-06-30 12:00:00,-23.22443581729644,
2021-06-30 13:30:00,-20.38076767976618,
2021-06-30 15:00:00,-18.258268238863195,
2021-06-30 15:30:30,-18.258268238863195,
2021-06-30 23:59:59,-16.64481917640812,c
2021-07-01 00:00:00,-13.220088459334804,
2021-07-01 10:00:00,-14.726611291804772,
2021-07-01 10:30:00,-13.467712607731272,
2021-07-01 12:00:00,-17.013247245897773,
2021-07-01 13:30:00,-15.638371509285307,
2021-07-01 15:00:00,-17.216402086841512,
2021-07-01 15:30:30,-17.216402086841512,
2021-07-01 23:59:59,-14.869739763362588,c
2021-07-02 00:00:00,-14.044547187810167,
2021-07-02 10:00:00,-17.277308163231382,
2021-07-02 10:30:00,-15.445235772254449,
2021-07-02 12:00:00,-18.04887031282665,
2021-07-02 13:30:00,-16.028240495147443,
2021-07-02 15:00:00,-15.716444091659028,
2021-07-02 15:30:30,-15.716444091659028,
2021-07-02 23:59:59,-14.484624082703888,w
2021-07-05 00:00:00,-14.484624082703888,
2021-07-05 10:00:00,-14.484624082703888,
2021-07-05 10:30:00,-14.484624082703888,
2021-07-05 12:00:00,-14.484624082703888,
2021-07-05 13:30:00,-14.484624082703888,
2021-07-05 15:00:00,-14.484624082703888,
2021-07-05 15:30:30,-14.484624082703888,
2021-07-05 23:59:59,-14.484624082703888,c
2021-07-06 00:00:00,-16.733153293593958,
2021-07-06 10:00:00,-17.17007044056426,
2021-07-06 10:30:00,-12.243025091363094,
2021-07-06 12:00:00,-16.59540585934876,
2021-07-06 13:30:00,-16.16237618490902,
2021-07-06 15:00:00,-16.93171049857395,
2021-07-06 15:30:30,-16.93171049857395,
2021-07-06 23:59:59,-16.110397803454262,c
2021-07-07 00:00:00,-17.37796250903095,
2021-07-07 10:00:00,-15.787820772577888,
2021-07-07 10:30:00,-25.92312323353204,
2021-07-07 12:00:00,-23.618611407448682,
2021-07-07 13:30:00,-26.719744496632927,
2021-07-07 15:00:00,-25.266849317698984,
2021-07-07 15:30:30,-25.266849317698984,
2021-07-07 23:59:59,-24.514486764919837,c
2021-07-08 00:00:00,-36.90286457317566,
2021-07-08 10:00:00,-41.49895704686179,
2021-07-08 10:30:00,-32.676897019124695,
2021-07-08 12:00:00,-32.0421462541544,
2021-07-08 13:30:00,-32.68732372132446,
2021-07-08 15:00:00,-33.40937817301332,
2021-07-08 15:30:30,-33.40937817301332,
2021-07-08 23:59:59,-30.755696985564484,c
