date,EU_MSCI_DM_MIG_2023_Q1,meta
2023-03-10 00:00:00,-358.59255559284935,
2023-03-10 03:30:00,-358.59255559284935,
2023-03-10 04:00:00,-358.59255559284935,
2023-03-10 06:00:00,-358.59255559284935,
2023-03-10 08:00:00,-358.59255559284935,
2023-03-10 10:30:00,-358.59255559284935,
2023-03-10 11:00:00,-358.59255559284935,
2023-03-10 23:59:59,-358.59255559284935,w
2023-03-13 00:00:00,-358.59255559284935,
2023-03-13 03:30:00,-358.59255559284935,
2023-03-13 04:00:00,-358.59255559284935,
2023-03-13 06:00:00,-358.59255559284935,
2023-03-13 08:00:00,-358.59255559284935,
2023-03-13 10:30:00,-358.59255559284935,
2023-03-13 11:00:00,-358.59255559284935,
2023-03-13 23:59:59,-358.59255559284935,c
2023-03-14 00:00:00,-358.59255559284935,
2023-03-14 03:30:00,-358.59255559284935,
2023-03-14 04:00:00,-358.59255559284935,
2023-03-14 06:00:00,-358.59255559284935,
2023-03-14 08:00:00,-358.59255559284935,
2023-03-14 10:30:00,-358.59255559284935,
2023-03-14 11:00:00,-358.59255559284935,
2023-03-14 23:59:59,-358.59255559284935,c
2023-03-15 00:00:00,-358.59255559284935,
2023-03-15 03:30:00,-358.59255559284935,
2023-03-15 04:00:00,-358.59255559284935,
2023-03-15 06:00:00,-358.59255559284935,
2023-03-15 08:00:00,-358.59255559284935,
2023-03-15 10:30:00,-358.59255559284935,
2023-03-15 11:00:00,-358.59255559284935,
2023-03-15 23:59:59,-358.59255559284935,c
2023-03-16 00:00:00,-358.59255559284935,
2023-03-16 03:30:00,-358.59255559284935,
2023-03-16 04:00:00,-358.59255559284935,
2023-03-16 06:00:00,-358.59255559284935,
2023-03-16 08:00:00,-358.59255559284935,
2023-03-16 10:30:00,-358.59255559284935,
2023-03-16 11:00:00,-358.59255559284935,
2023-03-16 23:59:59,-358.59255559284935,c
2023-03-17 00:00:00,-358.59255559284935,
2023-03-17 03:30:00,-358.59255559284935,
2023-03-17 04:00:00,-358.59255559284935,
