date,AS_MSCI_EM_REST_STAY_2022_Q4,meta
2022-12-14 23:59:59,-1398.5504551178478,c
2022-12-15 00:00:00,-1401.7808910068952,
2022-12-15 01:00:00,-1453.0032556364035,
2022-12-15 02:30:00,-1445.7093647416914,
2022-12-15 03:00:00,-1441.1182573073847,
2022-12-15 18:30:00,-1441.1182573073847,
2022-12-15 20:00:00,-1367.361096584531,
2022-12-15 23:00:00,-1349.6551946408463,
2022-12-15 23:59:59,-1334.4700463523745,c
2022-12-16 00:00:00,-1367.4438989995924,
2022-12-16 01:00:00,-1338.2147535000227,
2022-12-16 02:30:00,-1324.7696936089942,
2022-12-16 03:00:00,-1324.5587624218024,
2022-12-16 18:30:00,-1324.5587624218024,
2022-12-16 20:00:00,-1324.5587624218024,
2022-12-16 23:00:00,-1324.5587624218024,
2022-12-16 23:59:59,-1375.1849301774328,w
2022-12-19 00:00:00,-1417.8692259832214,
2022-12-19 01:00:00,-1400.3541779460115,
2022-12-19 02:30:00,-1364.1781968265532,
2022-12-19 03:00:00,-1364.5347671456266,
2022-12-19 18:30:00,-1364.5347671456266,
2022-12-19 20:00:00,-1306.0797827724869,
2022-12-19 23:00:00,-1263.4013947871608,
2022-12-19 23:59:59,-1259.7042339787563,c
2022-12-20 00:00:00,-1283.9775428894077,
2022-12-20 01:00:00,-1307.894969006465,
2022-12-20 02:30:00,-1290.5414815202703,
2022-12-20 03:00:00,-1290.9294687504585,
2022-12-20 18:30:00,-1290.9294687504585,
2022-12-20 20:00:00,-1333.5828472682124,
2022-12-20 23:00:00,-1421.9240194200256,
2022-12-20 23:59:59,-1461.6107560789337,c
2022-12-21 00:00:00,-1446.4543026833771,
2022-12-21 01:00:00,-1460.5086462034023,
2022-12-21 02:30:00,-1441.2258364372092,
2022-12-21 03:00:00,-1442.653928496998,
2022-12-21 18:30:00,-1442.653928496998,
2022-12-21 20:00:00,-1470.1737628611709,
2022-12-21 23:00:00,-1523.5031591737093,
2022-12-21 23:59:59,-1553.8381105860985,c
2022-12-22 00:00:00,-1538.7055505406988,
2022-12-22 01:00:00,-1544.7432467830213,
2022-12-22 02:30:00,-1515.3615885013473,
2022-12-22 03:00:00,-1513.6896174457743,
2022-12-22 18:30:00,-1513.6896174457743,
2022-12-22 20:00:00,-1511.4549389860103,
2022-12-22 23:00:00,-1535.0636158670122,
2022-12-22 23:59:59,-1568.2899200887155,c
2022-12-23 00:00:00,-1602.5422819311084,
2022-12-23 01:00:00,-1593.4666016745855,
2022-12-23 02:30:00,-1611.5205587298447,
2022-12-23 03:00:00,-1610.052994833938,
2022-12-23 18:30:00,-1610.052994833938,
