date,AS_MSCI_EM_REST_MIG_2022_Q2,meta
2022-06-16 02:30:00,-29.321389036094615,
2022-06-16 03:00:00,-29.321389036094615,
2022-06-16 18:30:00,-29.321389036094615,
2022-06-16 20:00:00,-29.321389036094615,
2022-06-16 23:00:00,-71.79305256350563,
2022-06-16 23:59:59,-97.62935882080069,c
2022-06-17 00:00:00,-125.33679926982222,
2022-06-17 01:00:00,-22.16771289309804,
2022-06-17 02:30:00,-22.16771289309804,
2022-06-17 03:00:00,-22.16771289309804,
2022-06-17 18:30:00,-22.16771289309804,
2022-06-17 20:00:00,-22.16771289309804,
2022-06-17 23:00:00,-22.16771289309804,
2022-06-17 23:59:59,-104.7673291724384,w
2022-06-20 00:00:00,-128.65115737002202,
2022-06-20 01:00:00,-189.97890160149996,
2022-06-20 02:30:00,-189.97890160149996,
2022-06-20 03:00:00,-189.97890160149996,
2022-06-20 18:30:00,-189.97890160149996,
2022-06-20 20:00:00,-189.97890160149996,
2022-06-20 23:00:00,-142.41378384412792,
2022-06-20 23:59:59,-152.85110584447602,c
2022-06-21 00:00:00,-85.633820215887,
2022-06-21 01:00:00,-70.95869680939609,
2022-06-21 02:30:00,-70.95869680939609,
2022-06-21 03:00:00,-70.95869680939609,
2022-06-21 18:30:00,-70.95869680939609,
2022-06-21 20:00:00,-70.95869680939609,
2022-06-21 23:00:00,-208.296969687736,
2022-06-21 23:59:59,-228.88735894319325,c
2022-06-22 00:00:00,-202.1702264690348,
2022-06-22 01:00:00,-157.39840355673823,
2022-06-22 02:30:00,-157.39840355673823,
2022-06-22 03:00:00,-157.39840355673823,
2022-06-22 18:30:00,-157.39840355673823,
2022-06-22 20:00:00,-157.39840355673823,
2022-06-22 23:00:00,-324.63661418588185,
2022-06-22 23:59:59,-368.51306969441544,c
2022-06-23 00:00:00,-361.15087804315976,
2022-06-23 01:00:00,-358.7087972027646,
2022-06-23 02:30:00,-358.7087972027646,
2022-06-23 03:00:00,-358.7087972027646,
2022-06-23 18:30:00,-358.7087972027646,
2022-06-23 20:00:00,-358.7087972027646,
2022-06-23 23:00:00,-436.8376196222971,
2022-06-23 23:59:59,-506.33479942802137,c
2022-06-24 00:00:00,-480.29806691217163,
2022-06-24 01:00:00,-459.5325040818043,
2022-06-24 02:30:00,-459.5325040818043,
2022-06-24 03:00:00,-459.5325040818043,
2022-06-24 18:30:00,-459.5325040818043,
2022-06-24 20:00:00,-459.5325040818043,
2022-06-24 23:00:00,-459.5325040818043,
2022-06-24 23:59:59,-474.37540831998695,w
2022-06-27 00:00:00,-463.1778014876463,
2022-06-27 01:00:00,-434.73884850055674,
2022-06-27 02:30:00,-434.73884850055674,
2022-06-27 03:00:00,-434.73884850055674,
2022-06-27 18:30:00,-434.73884850055674,
2022-06-27 20:00:00,-434.73884850055674,
2022-06-27 23:00:00,-583.9272171122066,
2022-06-27 23:59:59,-519.5052208168163,c
2022-06-28 00:00:00,-516.9580837927322,
2022-06-28 01:00:00,-485.49064862179034,
2022-06-28 02:30:00,-485.49064862179034,
2022-06-28 03:00:00,-485.49064862179034,
2022-06-28 18:30:00,-485.49064862179034,
2022-06-28 20:00:00,-485.49064862179034,
2022-06-28 23:00:00,-485.49064862179034,
2022-06-28 23:59:59,-429.85444773241375,c
