date,MSCI_FACT_MTUM_HEDGED_2021_Q4,meta
2021-11-30 23:59:59,11.726345884332034,e
2021-12-01 00:00:00,24.308077043842204,
2021-12-01 10:00:00,0.4651135243731517,
2021-12-01 10:30:00,4.6639281106645285,
2021-12-01 12:00:00,22.398248945458008,
2021-12-01 13:30:00,13.04756201781197,
2021-12-01 15:00:00,11.56569039468532,
2021-12-01 15:30:30,11.56569039468532,
2021-12-01 23:59:59,14.07984741550878,c
2021-12-02 00:00:00,13.41081772962022,
2021-12-02 10:00:00,26.44199660766178,
2021-12-02 10:30:00,29.394936910969747,
2021-12-02 12:00:00,21.79087925021379,
2021-12-02 13:30:00,24.27086863936468,
2021-12-02 15:00:00,19.41773097032147,
2021-12-02 15:30:30,19.41773097032147,
2021-12-02 23:59:59,20.22829011965419,c
2021-12-03 00:00:00,29.38988548360524,
2021-12-03 10:00:00,11.860878757244436,
2021-12-03 10:30:00,-1.287814313182352,
2021-12-03 12:00:00,-9.24882704099825,
2021-12-03 13:30:00,-7.7645603396435945,
2021-12-03 15:00:00,-4.05788707390947,
2021-12-03 15:30:30,-4.05788707390947,
2021-12-03 23:59:59,0.45127693599890506,w
2021-12-06 00:00:00,-6.626672288599693,
2021-12-06 10:00:00,-32.39816751996172,
2021-12-06 10:30:00,-27.896612819830068,
2021-12-06 12:00:00,-34.996898741751586,
2021-12-06 13:30:00,-35.1434263780696,
2021-12-06 15:00:00,-30.224731211629788,
2021-12-06 15:30:30,-30.224731211629788,
2021-12-06 23:59:59,-29.40267934674013,c
2021-12-07 00:00:00,-22.196290432484602,
2021-12-07 10:00:00,-29.947380647703895,
2021-12-07 10:30:00,-24.288232680407972,
2021-12-07 12:00:00,-33.038224346930264,
2021-12-07 13:30:00,-32.00049450404899,
2021-12-07 15:00:00,-28.237662840526767,
2021-12-07 15:30:30,-28.237662840526767,
2021-12-07 23:59:59,-17.286083422592327,c
2021-12-08 00:00:00,-20.466415847059878,
2021-12-08 10:00:00,-21.90960530553879,
2021-12-08 10:30:00,-14.7611691111602,
2021-12-08 12:00:00,-18.82106109716503,
2021-12-08 13:30:00,-31.793784285903953,
2021-12-08 15:00:00,-32.77919548373851,
2021-12-08 15:30:30,-32.77919548373851,
2021-12-08 23:59:59,-23.73012258841632,c
2021-12-09 00:00:00,-16.18977675624791,
2021-12-09 10:00:00,-19.530046746039133,
2021-12-09 10:30:00,-22.35033949327378,
2021-12-09 12:00:00,-26.394939628572644,
2021-12-09 13:30:00,-32.30337795118251,
2021-12-09 15:00:00,-31.47606388580519,
2021-12-09 15:30:30,-31.47606388580519,
2021-12-09 23:59:59,-38.08789917112228,c
2021-12-10 00:00:00,-2.3528548486873717,
2021-12-10 10:00:00,10.666916927285953,
2021-12-10 10:30:00,25.25629525011375,
2021-12-10 12:00:00,27.385852687609827,
2021-12-10 13:30:00,27.57208706131371,
2021-12-10 15:00:00,31.00419174360337,
2021-12-10 15:30:30,31.00419174360337,
2021-12-10 23:59:59,37.8211268537613,w
2021-12-13 00:00:00,37.01631842883462,
2021-12-13 10:00:00,63.57962605396024,
2021-12-13 10:30:00,65.78827486901703,
2021-12-13 12:00:00,66.27005729108957,
2021-12-13 13:30:00,62.30464339948334,
2021-12-13 15:00:00,54.784630195791394,
2021-12-13 15:30:30,54.784630195791394,
2021-12-13 23:59:59,43.47757064326173,c
2021-12-14 00:00:00,20.133915968360824,
2021-12-14 10:00:00,-16.351843588415704,
2021-12-14 10:30:00,-22.783197871242507,
2021-12-14 12:00:00,-31.044902818508362,
2021-12-14 13:30:00,-35.61219131355657,
2021-12-14 15:00:00,-28.8496716813264,
2021-12-14 15:30:30,-28.8496716813264,
2021-12-14 23:59:59,-26.299194670422736,c
2021-12-15 00:00:00,-7.945472901172849,
2021-12-15 10:00:00,13.621668561929084,
2021-12-15 10:30:00,25.157614936578412,
2021-12-15 12:00:00,18.179800642133145,
2021-12-15 13:30:00,15.896782392431987,
2021-12-15 15:00:00,28.34223656742499,
2021-12-15 15:30:30,28.34223656742499,
2021-12-15 23:59:59,47.18826810366305,c
2021-12-16 00:00:00,38.523069574427,
2021-12-16 10:00:00,23.941204743394394,
2021-12-16 10:30:00,24.751524694948614,
2021-12-16 12:00:00,9.618914109223553,
