date,DVY_HEDGED_2022_Q1,meta
2022-03-30 13:30:00,71.77565545418045,
2022-03-30 15:00:00,73.67821284659706,
2022-03-30 15:30:30,73.67821284659706,
2022-03-30 23:59:59,64.81463886945042,c
2022-03-31 00:00:00,54.72575848783569,
2022-03-31 10:00:00,28.872786501424912,
2022-03-31 10:30:00,20.083433629027013,
2022-03-31 12:00:00,16.660167631910667,
2022-03-31 13:30:00,13.519347141150831,
2022-03-31 15:00:00,35.26133907405685,
2022-03-31 15:30:30,35.26133907405685,
2022-03-31 23:59:59,30.733120898941763,c
2022-04-01 00:00:00,48.72949749990292,
2022-04-01 10:00:00,24.851816158387322,
2022-04-01 10:30:00,0.5934238208554916,
2022-04-01 12:00:00,19.217487837228248,
2022-04-01 13:30:00,39.520897448073384,
2022-04-01 15:00:00,41.68203797909348,
2022-04-01 15:30:30,41.68203797909348,
2022-04-01 23:59:59,52.045843730463986,w
